"Order Id";"Order Date";"Ship Date";"Ship Mode";"Product_Count";"Sales";"Quantity";"Profit"
"CA-2016-103730";"12-06-2016";"15-06-2016";"First Class";5;487.5;29.0;167.151
"US-2014-152030";"26-12-2014";"28-12-2014";"Second Class";1;600.558;3.0;-8.5794
"US-2014-134614";"20-09-2014";"25-09-2014";"Standard Class";1;617.7;6.0;-407.682
"US-2017-107272";"05-11-2017";"12-11-2017";"Standard Class";2;246.38;9.0;28.6682
"US-2016-125969";"06-11-2016";"10-11-2016";"Second Class";2;319.98400000000004;5.0;17.0814
"US-2017-164147";"02-02-2017";"05-02-2017";"First Class";3;159.73;16.0;24.343200000000003
"CA-2016-145583";"13-10-2016";"19-10-2016";"Standard Class";7;256.19599999999997;33.0;97.50739999999999
"CA-2016-110366";"05-09-2016";"07-09-2016";"Second Class";1;82.8;2.0;10.35
"CA-2017-106180";"18-09-2017";"23-09-2017";"Standard Class";3;163.38;9.0;76.4616
"CA-2017-155376";"22-12-2017";"27-12-2017";"Standard Class";1;839.43;3.0;218.2518
"CA-2015-110744";"07-09-2015";"12-09-2015";"Standard Class";1;671.93;7.0;20.1579
"CA-2014-110072";"22-10-2014";"28-10-2014";"Standard Class";1;93.888;4.0;12.9096
"CA-2016-114489";"05-12-2016";"09-12-2016";"Standard Class";4;2657.81;27.0;775.9808
"CA-2016-158834";"13-03-2016";"16-03-2016";"First Class";2;361.104;7.0;33.004799999999996
"CA-2015-124919";"31-05-2015";"02-06-2015";"First Class";3;244.78;17.0;95.83900000000001
"CA-2015-118948";"28-05-2015";"03-06-2015";"Standard Class";1;6.63;3.0;1.7901
"CA-2014-104269";"01-03-2014";"06-03-2014";"Second Class";1;457.568;2.0;51.4764
"CA-2016-114104";"20-11-2016";"24-11-2016";"Standard Class";2;959.55;9.0;243.10389999999998
"CA-2016-162733";"11-05-2016";"12-05-2016";"First Class";1;5.98;1.0;2.691
"CA-2015-119697";"28-12-2015";"31-12-2015";"Second Class";1;54.384;2.0;1.3596
"CA-2016-154508";"16-11-2016";"20-11-2016";"Standard Class";1;28.4;5.0;13.348
"CA-2016-113817";"07-11-2016";"11-11-2016";"Standard Class";1;27.68;2.0;9.688
"CA-2014-139892";"08-09-2014";"12-09-2014";"Standard Class";7;10539.896;37.0;-1878.7892
"CA-2014-118962";"05-08-2014";"09-08-2014";"Standard Class";3;472.044;12.0;84.36160000000001
"US-2014-100853";"14-09-2014";"19-09-2014";"Standard Class";2;72.608;6.0;-124.56800000000001
"US-2017-152366";"21-04-2017";"25-04-2017";"Second Class";1;97.264;4.0;-243.16
"US-2015-101511";"21-11-2015";"23-11-2015";"Second Class";2;412.682;12.0;-15.108699999999999
"CA-2015-137225";"15-12-2015";"19-12-2015";"Standard Class";1;3.28;1.0;1.4104
"CA-2014-166191";"05-12-2014";"09-12-2014";"Second Class";2;433.56;9.0;78.5007
"CA-2014-158274";"19-11-2014";"24-11-2014";"Second Class";3;682.91;11.0;180.26559999999998
"CA-2016-105018";"28-11-2016";"02-12-2016";"Standard Class";1;7.16;2.0;3.4368
"CA-2014-123260";"26-08-2014";"30-08-2014";"Standard Class";1;176.8;8.0;22.984
"CA-2016-157000";"16-07-2016";"22-07-2016";"Standard Class";2;57.239999999999995;6.0;9.9774
"CA-2015-102281";"12-10-2015";"14-10-2015";"First Class";5;1668.988;26.0;210.91140000000001
"CA-2015-131457";"31-10-2015";"06-11-2015";"Standard Class";1;14.28;7.0;6.7116
"CA-2014-140004";"21-03-2014";"25-03-2014";"Standard Class";2;13.456;5.0;2.7914
"CA-2017-107720";"06-11-2017";"13-11-2017";"Standard Class";1;46.26;3.0;12.0276
"US-2017-124303";"06-07-2017";"13-07-2017";"Standard Class";1;16.056;3.0;5.8203
"CA-2017-105074";"24-06-2017";"29-06-2017";"Standard Class";1;21.744;3.0;6.795
"CA-2014-133690";"03-08-2014";"05-08-2014";"First Class";2;221.35;3.0;-161.5825
"US-2017-116701";"17-12-2017";"21-12-2017";"Second Class";1;66.284;2.0;-178.9668
"CA-2017-126382";"03-06-2017";"07-06-2017";"Standard Class";1;35.168;7.0;9.6712
"CA-2017-108329";"09-12-2017";"14-12-2017";"Standard Class";1;444.768;4.0;44.4768
"CA-2017-135860";"01-12-2017";"07-12-2017";"Standard Class";5;376.09999999999997;20.0;68.8809
"CA-2015-101007";"09-02-2015";"13-02-2015";"Second Class";1;20.8;2.0;6.5
"CA-2015-146262";"02-01-2015";"09-01-2015";"Standard Class";5;1816.6960000000001;21.0;-1196.0596
"CA-2016-130162";"28-10-2016";"01-11-2016";"Standard Class";2;395.436;9.0;48.735
"CA-2015-169397";"24-12-2015";"27-12-2015";"First Class";6;627.924;22.0;-365.987
"CA-2015-163055";"09-08-2015";"16-08-2015";"Standard Class";3;646.6300000000001;7.0;138.12679999999997
"US-2015-145436";"28-02-2015";"04-03-2015";"Standard Class";2;551.264;10.0;15.566400000000002
"US-2014-156216";"13-09-2014";"17-09-2014";"Standard Class";1;18.648;7.0;-12.432
"US-2017-100930";"07-04-2017";"12-04-2017";"Standard Class";5;1735.8505;13.0;-361.57050000000004
"CA-2017-160514";"12-11-2017";"16-11-2017";"Standard Class";1;10.56;2.0;4.752
"CA-2016-157749";"04-06-2016";"09-06-2016";"Second Class";7;677.949;25.0;-462.9528000000001
"CA-2014-131926";"01-06-2014";"06-06-2014";"Second Class";5;3745.63;24.0;1154.6735
"CA-2016-154739";"10-12-2016";"15-12-2016";"Second Class";1;321.568;2.0;28.1372
"CA-2016-145625";"11-09-2016";"17-09-2016";"Standard Class";2;3354.98;14.0;639.577
"CA-2016-146941";"10-12-2016";"13-12-2016";"First Class";2;442.5;10.0;185.4264
"US-2015-159982";"28-11-2015";"04-12-2015";"Standard Class";3;713.956;20.0;52.2432
"CA-2017-163139";"01-12-2017";"03-12-2017";"Second Class";3;259.44;11.0;19.704299999999996
"US-2017-155299";"08-06-2017";"12-06-2017";"Standard Class";1;1.624;2.0;-4.466
"US-2014-106992";"19-09-2014";"21-09-2014";"Second Class";2;5579.9400000000005;10.0;-761.9928
"CA-2016-125318";"06-06-2016";"13-06-2016";"Standard Class";1;328.224;4.0;28.7196
"CA-2015-155040";"10-11-2015";"15-11-2015";"Standard Class";1;79.9;2.0;35.156
"CA-2017-136826";"16-06-2017";"20-06-2017";"Standard Class";1;14.016;3.0;4.7304
"CA-2016-111010";"22-01-2016";"28-01-2016";"Standard Class";1;7.56;6.0;0.3024
"US-2017-145366";"09-12-2017";"13-12-2017";"Standard Class";2;94.78399999999999;4.0;14.1494
"CA-2017-163979";"28-12-2017";"02-01-2018";"Second Class";1;725.84;4.0;210.4936
"CA-2015-155334";"30-07-2015";"31-07-2015";"First Class";3;226.13;13.0;98.7874
"CA-2017-118136";"16-09-2017";"17-09-2017";"First Class";1;5.98;1.0;1.5548
"CA-2017-132976";"13-10-2017";"17-10-2017";"Standard Class";3;96.2;11.0;18.742
"US-2015-161991";"26-09-2015";"28-09-2015";"Second Class";2;1116.48;12.0;372.678
"CA-2015-130890";"02-11-2015";"06-11-2015";"Standard Class";1;1038.84;5.0;51.942
"CA-2015-130883";"26-09-2015";"02-10-2015";"Standard Class";3;412.664;16.0;106.6904
"CA-2016-112697";"18-12-2016";"20-12-2016";"Second Class";3;1410.066;14.0;-349.3705
"CA-2016-110772";"20-11-2016";"24-11-2016";"Second Class";4;380.54600000000005;20.0;18.61939999999999
"CA-2014-111451";"26-12-2014";"28-12-2014";"First Class";5;855.272;22.0;20.8692
"CA-2016-142545";"28-10-2016";"03-11-2016";"Standard Class";4;181.19;13.0;87.46159999999999
"US-2017-152380";"19-11-2017";"23-11-2017";"Standard Class";1;219.075;3.0;-131.445
"CA-2015-144253";"04-05-2015";"09-05-2015";"Second Class";1;26.8;2.0;12.864
"CA-2014-130960";"30-12-2014";"04-01-2015";"Standard Class";1;9.84;3.0;2.8536
"CA-2014-111003";"01-06-2014";"06-06-2014";"Standard Class";2;334.68;9.0;104.7888
"CA-2017-126774";"15-04-2017";"17-04-2017";"First Class";1;4.89;1.0;2.0049
"CA-2016-142902";"12-09-2016";"14-09-2016";"Second Class";4;503.4;10.0;59.8556
"CA-2014-120887";"27-09-2014";"03-10-2014";"Standard Class";1;87.54;3.0;37.6422
"CA-2014-167850";"09-08-2014";"16-08-2014";"Standard Class";2;193.93599999999998;5.0;27.7412
"CA-2014-164259";"28-12-2014";"30-12-2014";"First Class";1;99.136;4.0;8.6744
"CA-2014-164973";"04-11-2014";"09-11-2014";"Standard Class";5;4807.371999999999;14.0;2242.8403999999996
"CA-2014-156601";"19-09-2014";"24-09-2014";"Standard Class";1;7.16;2.0;3.58
"CA-2016-162138";"23-04-2016";"27-04-2016";"Standard Class";2;351.51;7.0;116.7405
"CA-2017-153339";"03-11-2017";"05-11-2017";"Second Class";1;15.992;1.0;0.9995
"US-2016-141544";"30-08-2016";"01-09-2016";"First Class";5;1269.87;25.0;-316.85139999999996
"US-2016-150147";"25-04-2016";"29-04-2016";"Second Class";3;108.42;7.0;-37.9432
"CA-2015-137946";"01-09-2015";"04-09-2015";"Second Class";3;979.104;7.0;342.0882
"CA-2014-129924";"12-07-2014";"17-07-2014";"Standard Class";2;706.064;5.0;-14.6632
"CA-2014-122336";"13-04-2014";"17-04-2014";"Second Class";3;558.818;27.0;-396.7876
"US-2015-120712";"20-12-2015";"24-12-2015";"Standard Class";1;88.8;4.0;-2.22
"CA-2017-169901";"15-06-2017";"19-06-2017";"Standard Class";1;47.976;3.0;4.7976
"CA-2017-134306";"08-07-2017";"12-07-2017";"Standard Class";3;45.08;7.0;18.79
"CA-2016-129714";"01-09-2016";"03-09-2016";"First Class";5;4438.686;12.0;1453.4346
"CA-2016-138520";"08-04-2016";"13-04-2016";"Standard Class";4;448.404;17.0;21.7512
"CA-2016-130001";"23-04-2016";"28-04-2016";"Standard Class";1;36.24;5.0;11.325
"CA-2017-155698";"08-03-2017";"11-03-2017";"First Class";2;668.5400000000001;10.0;178.3744
"CA-2017-144904";"25-09-2017";"01-10-2017";"Standard Class";4;562.026;15.0;118.98479999999999
"CA-2014-123344";"24-09-2014";"29-09-2014";"Standard Class";1;211.96;4.0;8.4784
"CA-2016-155516";"21-10-2016";"21-10-2016";"Same Day";4;1179.27;17.0;311.3476
"CA-2017-104745";"29-05-2017";"04-06-2017";"Standard Class";2;79.344;8.0;14.0706
"US-2014-119137";"23-07-2014";"27-07-2014";"Standard Class";4;1520.376;24.0;144.4608
"US-2016-134656";"28-09-2016";"01-10-2016";"First Class";1;99.136;4.0;30.98
"US-2017-134481";"27-08-2017";"01-09-2017";"Standard Class";1;1488.424;7.0;-297.6848
"CA-2015-130792";"28-04-2015";"05-05-2015";"Standard Class";2;32.484;6.0;-17.6511
"CA-2016-134775";"28-10-2016";"29-10-2016";"First Class";2;100.49600000000001;10.0;42.8176
"CA-2015-125395";"26-06-2015";"29-06-2015";"Second Class";1;41.9;2.0;8.799
"US-2015-168935";"27-11-2015";"02-12-2015";"Standard Class";2;459.4335;6.0;-158.0592
"CA-2015-122756";"03-12-2015";"07-12-2015";"Standard Class";2;485.29999999999995;5.0;-336.861
"CA-2014-115973";"24-11-2014";"26-11-2014";"First Class";1;2.624;1.0;0.4264
"CA-2017-101798";"11-12-2017";"15-12-2017";"Standard Class";2;63.339999999999996;6.0;21.4772
"US-2014-135972";"21-09-2014";"23-09-2014";"Second Class";2;2046.354;5.0;729.7065
"US-2014-134971";"07-06-2014";"10-06-2014";"Second Class";1;12.462;3.0;-20.5623
"CA-2017-102946";"30-06-2017";"05-07-2017";"Standard Class";1;75.792;3.0;25.5798
"CA-2017-165603";"17-10-2017";"19-10-2017";"Second Class";2;62.92;4.0;15.7132
"CA-2015-122259";"31-10-2015";"04-11-2015";"Standard Class";1;70.12;4.0;21.036
"CA-2016-108987";"08-09-2016";"10-09-2016";"Second Class";4;2620.9375999999997;13.0;-345.6218
"CA-2014-113166";"24-12-2014";"26-12-2014";"First Class";1;9.568;2.0;3.4684
"CA-2014-155208";"16-04-2014";"20-04-2014";"Standard Class";1;39.072;6.0;9.768
"CA-2017-117933";"24-12-2017";"29-12-2017";"Standard Class";1;35.91;3.0;9.6957
"CA-2017-117457";"08-12-2017";"12-12-2017";"Standard Class";9;3955.5070000000005;46.0;431.81620000000004
"CA-2017-142636";"03-11-2017";"07-11-2017";"Standard Class";2;446.99600000000004;11.0;92.6086
"CA-2017-122105";"24-06-2017";"28-06-2017";"Standard Class";1;95.92;8.0;25.8984
"CA-2016-148796";"14-04-2016";"18-04-2016";"Standard Class";1;383.8;5.0;38.38
"CA-2017-154816";"06-11-2017";"10-11-2017";"Standard Class";1;5.78;1.0;2.8322
"CA-2017-110478";"04-03-2017";"09-03-2017";"Standard Class";2;24.57;5.0;9.7178
"CA-2014-142048";"22-06-2014";"25-06-2014";"First Class";1;196.752;6.0;56.5662
"CA-2017-125388";"19-10-2017";"23-10-2017";"Standard Class";2;89.26;7.0;23.2076
"CA-2017-155705";"21-08-2017";"23-08-2017";"Second Class";1;866.4;4.0;225.264
"CA-2017-149160";"23-11-2017";"26-11-2017";"Second Class";2;316.32;10.0;149.2776
"CA-2014-101476";"12-09-2014";"13-09-2014";"First Class";1;69.99;1.0;30.0957
"CA-2017-152275";"01-10-2017";"08-10-2017";"Standard Class";1;6.672;6.0;0.5004
"US-2016-123750";"15-04-2016";"21-04-2016";"Standard Class";4;895.06;16.0;-14.743599999999995
"CA-2016-127369";"06-06-2016";"07-06-2016";"First Class";1;714.3;5.0;207.147
"US-2014-150574";"19-12-2014";"25-12-2014";"Standard Class";2;252.61200000000002;7.0;-22.2742
"CA-2016-147375";"12-06-2016";"14-06-2016";"Second Class";2;1321.467;10.0;156.8385
"CA-2017-130043";"15-09-2017";"19-09-2017";"Standard Class";1;31.872;8.0;11.5536
"CA-2017-157252";"20-01-2017";"23-01-2017";"Second Class";1;207.846;3.0;2.3094
"CA-2016-115756";"05-09-2016";"07-09-2016";"Second Class";5;543.0999999999999;17.0;87.37110000000001
"CA-2017-154214";"20-03-2017";"25-03-2017";"Second Class";1;2.91;1.0;1.3677
"CA-2016-166674";"01-04-2016";"03-04-2016";"Second Class";6;560.7800000000001;22.0;116.34880000000001
"CA-2017-147277";"20-10-2017";"24-10-2017";"Standard Class";2;949.7719999999999;4.0;-9.289599999999993
"CA-2016-100153";"13-12-2016";"17-12-2016";"Standard Class";1;63.88;4.0;24.9132
"US-2014-110674";"12-02-2014";"18-02-2014";"Standard Class";1;129.568;2.0;-24.294
"US-2016-157945";"26-09-2016";"01-10-2016";"Standard Class";2;756.486;5.0;-92.7666
"CA-2015-109638";"15-12-2015";"22-12-2015";"Standard Class";3;1055.1419999999998;16.0;432.9348
"CA-2016-109869";"22-04-2016";"29-04-2016";"Standard Class";5;1588.3229999999999;20.0;-857.1918000000001
"US-2015-101399";"17-01-2015";"24-01-2015";"Standard Class";1;254.744;7.0;-312.0614
"CA-2017-154907";"31-03-2017";"04-04-2017";"Standard Class";1;205.3328;2.0;-36.2352
"US-2016-100419";"16-12-2016";"20-12-2016";"Second Class";1;4.788;3.0;-7.9002
"CA-2015-154144";"20-12-2015";"24-12-2015";"Standard Class";1;55.48;1.0;26.6304
"CA-2014-144666";"09-11-2014";"11-11-2014";"Second Class";5;1454.924;20.0;172.392
"CA-2016-103891";"12-07-2016";"19-07-2016";"Standard Class";1;95.76;6.0;7.182
"CA-2016-152632";"27-10-2016";"02-11-2016";"Standard Class";1;40.2;3.0;19.296
"CA-2016-100790";"26-06-2016";"02-07-2016";"Standard Class";2;718.95;10.0;91.125
"CA-2014-134677";"06-10-2014";"10-10-2014";"Standard Class";1;9.09;3.0;1.9089
"CA-2014-127691";"22-07-2014";"27-07-2014";"Standard Class";2;165.94;4.0;59.261599999999994
"CA-2017-140963";"10-06-2017";"13-06-2017";"First Class";3;823.7249999999999;12.0;2.0524999999999984
"CA-2014-154627";"29-10-2014";"31-10-2014";"First Class";1;2735.952;6.0;341.994
"CA-2014-133753";"09-06-2014";"13-06-2014";"Second Class";3;142.344;5.0;17.153999999999996
"CA-2014-113362";"14-09-2014";"19-09-2014";"Standard Class";2;460.21999999999997;8.0;14.0752
"CA-2016-169166";"09-05-2016";"14-05-2016";"Standard Class";1;93.98;2.0;13.1572
"US-2016-120929";"18-03-2016";"21-03-2016";"Second Class";1;189.882;3.0;-94.941
"CA-2015-134782";"27-12-2015";"31-12-2015";"Standard Class";1;105.42;2.0;51.6558
"CA-2016-126158";"25-07-2016";"31-07-2016";"Standard Class";4;686.2439999999999;23.0;163.2002
"US-2016-105578";"30-05-2016";"04-06-2016";"Standard Class";5;874.308;10.0;33.042699999999996
"CA-2017-134978";"12-11-2017";"15-11-2017";"Second Class";1;15.92;5.0;5.373
"CA-2015-145352";"16-03-2015";"22-03-2015";"Standard Class";4;6412.7699999999995;12.0;3192.0681999999997
"CA-2017-135307";"26-11-2017";"27-11-2017";"First Class";2;164.34;5.0;52.5888
"CA-2016-106341";"20-10-2016";"23-10-2016";"First Class";1;7.152;3.0;0.7152
"CA-2017-163405";"21-12-2017";"25-12-2017";"Standard Class";2;12.51;5.0;3.4953000000000003
"CA-2017-127432";"22-01-2017";"27-01-2017";"Standard Class";4;4189.379999999999;13.0;1455.5515
"CA-2015-157812";"22-03-2015";"26-03-2015";"Standard Class";3;162.072;12.0;-41.793899999999994
"CA-2017-145142";"23-01-2017";"25-01-2017";"First Class";1;210.98;2.0;21.098
"US-2016-139486";"21-05-2016";"23-05-2016";"First Class";2;121.436;5.0;14.751999999999999
"CA-2015-158792";"26-12-2015";"02-01-2016";"Standard Class";1;22.2;5.0;10.434
"CA-2017-113558";"21-10-2017";"26-10-2017";"Standard Class";2;729.648;6.0;47.8878
"US-2015-138303";"03-09-2015";"07-09-2015";"Standard Class";3;755.096;10.0;-137.481
"CA-2015-102848";"07-11-2015";"09-11-2015";"Second Class";1;190.72;1.0;11.92
"US-2017-129441";"07-09-2017";"11-09-2017";"Standard Class";1;47.94;3.0;2.397
"CA-2016-168753";"29-05-2016";"01-06-2016";"Second Class";2;1002.7;10.0;285.761
"CA-2016-126613";"10-07-2016";"16-07-2016";"Standard Class";1;16.768;2.0;1.4672
"US-2017-122637";"03-09-2017";"08-09-2017";"Second Class";1;42.616;7.0;-68.1856
"CA-2015-147851";"03-12-2015";"08-12-2015";"Standard Class";1;10.752;4.0;3.36
"CA-2015-134894";"07-12-2015";"11-12-2015";"Standard Class";2;436.86;7.0;112.2738
"CA-2014-140795";"01-02-2014";"03-02-2014";"First Class";1;468.9;6.0;206.316
"CA-2016-136924";"14-07-2016";"17-07-2016";"First Class";1;380.864;8.0;38.0864
"US-2015-120161";"18-12-2015";"23-12-2015";"Standard Class";1;646.776;9.0;-145.5246
"CA-2014-103849";"11-05-2014";"16-05-2014";"Standard Class";3;225.016;7.0;-70.7293
"CA-2017-162929";"19-11-2017";"22-11-2017";"First Class";2;54.64;8.0;20.3448
"CA-2015-113173";"15-11-2015";"17-11-2015";"Second Class";3;270.356;17.0;-3.1479999999999997
"CA-2016-136406";"15-04-2016";"17-04-2016";"Second Class";1;1121.568;2.0;0.0
"CA-2017-112774";"11-09-2017";"12-09-2017";"First Class";1;34.504;1.0;6.0382
"CA-2017-101945";"24-11-2017";"28-11-2017";"Standard Class";1;10.824;3.0;2.5707
"CA-2017-100650";"29-06-2017";"03-07-2017";"Second Class";1;1295.78;2.0;310.9872
"CA-2014-155852";"03-03-2014";"07-03-2014";"Second Class";1;19.456;4.0;3.4048
"CA-2016-113243";"10-06-2016";"15-06-2016";"Standard Class";3;1388.7800000000002;11.0;-191.56
"CA-2017-118731";"20-11-2017";"22-11-2017";"Second Class";2;126.656;10.0;43.9322
"CA-2014-145576";"14-09-2014";"18-09-2014";"Second Class";2;26.128;8.0;5.0743
"CA-2015-130736";"07-12-2015";"09-12-2015";"First Class";2;6.57;3.0;1.2006
"CA-2017-137099";"07-12-2017";"10-12-2017";"First Class";1;374.376;3.0;46.797
"CA-2017-156951";"01-10-2017";"08-10-2017";"Standard Class";4;643.52;21.0;81.7
"CA-2017-164826";"28-12-2017";"04-01-2018";"Standard Class";4;134.524;21.0;56.4337
"CA-2016-127250";"03-11-2016";"07-11-2016";"Standard Class";1;8.82;3.0;2.3814
"CA-2015-149713";"18-09-2015";"22-09-2015";"Second Class";3;187.94;20.0;90.7036
"CA-2017-118640";"20-07-2017";"26-07-2017";"Standard Class";1;69.712;2.0;8.714
"CA-2015-132906";"10-09-2015";"14-09-2015";"Standard Class";1;51.52;4.0;1.5456
"CA-2017-145233";"01-12-2017";"05-12-2017";"Standard Class";5;1020.2630000000001;19.0;91.39
"CA-2015-128139";"03-07-2015";"09-07-2015";"Standard Class";2;365.91;4.0;149.48430000000002
"US-2016-156986";"20-03-2016";"24-03-2016";"Standard Class";4;132.709;11.0;-22.145899999999997
"CA-2014-135405";"09-01-2014";"13-01-2014";"Standard Class";2;40.544;5.0;10.918
"CA-2014-131450";"08-08-2014";"15-08-2014";"Standard Class";4;2049.816;18.0;604.5839
"CA-2016-120180";"14-07-2016";"16-07-2016";"First Class";1;11.632;2.0;1.0178
"US-2016-100720";"16-07-2016";"21-07-2016";"Standard Class";3;644.198;9.0;-143.4208
"CA-2014-149958";"15-03-2014";"19-03-2014";"Standard Class";5;370.782;14.0;33.598
"US-2014-105767";"23-05-2014";"27-05-2014";"Standard Class";3;79.638;13.0;-10.362
"CA-2016-161816";"28-04-2016";"01-05-2016";"First Class";2;385.288;7.0;47.2729
"CA-2016-121223";"11-09-2016";"13-09-2016";"Second Class";2;737.394;11.0;-155.2983
"CA-2017-138611";"14-11-2017";"17-11-2017";"Second Class";2;123.588;12.0;13.1952
"CA-2017-117947";"18-08-2017";"23-08-2017";"Second Class";5;283.774;17.0;90.71870000000001
"US-2014-111171";"26-12-2014";"31-12-2014";"Standard Class";1;8.69;5.0;-14.773
"CA-2015-138009";"29-11-2015";"03-12-2015";"Standard Class";4;1542.47;20.0;444.2672
