customer_id,trans_date,tran_amount
CS4292,04-Mar-14,98
CS3152,15-Dec-14,40
CS5640,13-Jan-14,77
CS1472,12-Apr-14,72
CS2352,06-Oct-14,62
CS4024,01-Feb-14,39
CS5638,16-Dec-14,58
CS3692,17-Sep-14,48
CS2074,05-Jan-15,79
CS5815,03-Jan-15,92
CS5094,07-Mar-15,84
CS4540,13-Aug-14,55
CS1697,13-Jul-14,98
CS2643,20-Jul-14,69
CS6056,22-Mar-14,104
CS4649,16-Dec-14,93
CS4372,27-Aug-14,71
CS2452,05-Apr-14,77
CS5260,25-Sep-14,89
CS1582,24-May-14,46
CS2226,29-Oct-14,104
CS5367,08-Jan-15,77
CS5004,21-Dec-14,59
CS4590,31-May-14,79
CS4288,21-Apr-14,68
CS3442,16-Sep-14,39
CS3103,07-May-14,59
CS5068,07-Nov-14,41
CS4376,13-Oct-14,49
CS5046,06-Feb-15,86
CS2469,19-Jul-14,93
CS2767,03-Jan-15,105
CS5283,05-Feb-15,63
CS4050,30-Aug-14,63
CS3209,25-Feb-14,82
CS1397,26-Mar-14,77
CS4413,17-Jan-15,38
CS1420,09-Sep-14,99
CS1492,06-Feb-14,82
CS2313,10-Apr-14,40
CS5385,25-Apr-14,83
CS4701,26-Jul-14,53
CS2569,29-Apr-14,37
CS3426,01-May-14,67
CS4908,27-Sep-14,78
CS3021,10-Feb-14,43
CS4390,02-Jul-14,43
CS5668,27-Feb-14,91
CS4391,07-Sep-14,67
CS3642,19-May-14,62
CS5948,10-Jul-14,71
CS5582,23-May-14,96
CS3515,07-Jul-14,81
CS5628,16-Dec-14,94
CS4420,28-May-14,93
CS3629,30-Sep-14,68
CS3779,29-Jan-14,92
CS6066,17-Mar-14,102
CS3300,28-Dec-14,86
CS6009,13-Mar-14,39
CS2399,21-Apr-14,77
CS1991,29-Sep-14,94
CS5076,31-Jan-15,63
CS1133,28-Jul-14,91
CS5750,25-Mar-14,48
CS2591,29-Jan-14,69
CS3073,13-Feb-15,95
CS4099,29-May-14,67
CS1433,22-Dec-14,72
CS5245,29-Oct-14,104
CS5354,23-Sep-14,83
CS5565,04-Jun-14,36
CS6073,07-Feb-15,104
CS2817,11-Jun-14,43
CS3635,03-Feb-15,38
CS2294,04-Mar-15,94
CS1582,16-Jan-14,85
CS2770,07-Nov-14,80
CS1140,28-Dec-14,61
CS2333,25-Jan-14,93
CS4895,11-Jan-14,80
CS4327,26-Sep-14,36
CS5490,19-Aug-14,36
CS5553,07-Jan-15,98
CS1206,11-Aug-14,90
CS1488,12-Feb-15,65
CS4681,03-Feb-14,96
CS1906,18-May-14,60
CS5774,28-Feb-15,78
CS2223,17-Jan-14,41
CS2366,08-Apr-14,39
CS5335,13-Jan-14,45
CS5690,19-Jan-15,82
CS3410,06-Sep-14,97
CS1337,24-Jul-14,103
CS3652,07-Feb-15,64
CS3569,17-Aug-14,61
CS2442,30-Apr-14,59
CS1740,28-Sep-14,102
CS4913,22-Jul-14,53
CS2104,25-Oct-14,81
CS1128,23-Apr-14,105
CS4231,23-Feb-15,89
CS4171,31-Oct-14,53
CS3180,09-Mar-14,65
CS2930,16-Jan-14,94
CS1883,12-Oct-14,57
CS4341,17-Mar-14,87
CS5367,01-Dec-14,41
CS2134,15-Jul-14,77
CS3407,17-Sep-14,62
CS3343,03-Apr-14,56
CS4884,10-Feb-15,78
CS1590,09-Apr-14,39
CS3176,28-Jul-14,50
CS5638,12-Nov-14,68
CS2177,30-Jan-15,93
CS2231,08-Jan-15,74
CS5356,01-Apr-14,91
CS5803,28-Nov-14,96
CS5611,29-Dec-14,65
CS2522,06-Oct-14,85
CS2328,20-Feb-15,43
CS5034,01-Jun-14,39
CS3011,14-Dec-14,83
CS5757,08-Feb-14,56
CS4393,10-Feb-15,54
CS1545,16-Sep-14,55
CS4960,16-Feb-14,77
CS1453,23-Mar-14,45
CS5348,06-Dec-14,64
CS5400,07-May-14,75
CS1882,23-Sep-14,104
CS4082,15-Feb-15,49
CS3181,27-Apr-14,62
CS1296,14-Jan-14,61
CS4864,06-Jan-14,73
CS5761,28-Jan-15,102
CS4569,03-Jul-14,76
CS2419,06-Jul-14,95
CS5152,30-Mar-14,53
CS2252,23-Sep-14,95
CS5971,15-Jan-14,94
CS4490,12-Sep-14,37
CS5211,13-Jan-15,85
CS3379,07-Oct-14,101
CS4533,21-Jan-15,53
CS3791,03-Jul-14,49
CS6011,21-Feb-14,55
CS3011,03-Feb-14,65
CS1654,16-Dec-14,85
CS3530,20-Apr-14,40
CS4627,22-Jun-14,50
CS4353,07-Feb-15,75
CS5038,15-Nov-14,75
CS5109,01-Aug-14,91
CS5623,01-Mar-15,100
CS3838,21-Aug-14,42
CS5534,20-Jul-14,40
CS4723,01-Jan-14,88
CS3353,04-Dec-14,94
CS3789,13-Feb-14,102
CS4141,04-Feb-14,88
CS5227,13-Jan-14,49
CS3864,03-Aug-14,78
CS4674,19-Dec-14,75
CS4904,15-Jun-14,60
CS2168,29-Jan-15,65
CS4310,29-Sep-14,61
CS1425,04-Jan-15,83
CS1398,02-Aug-14,56
CS5930,15-Apr-14,35
CS1743,12-Apr-14,73
CS5345,07-Oct-14,84
CS4853,12-Feb-14,45
CS4654,30-Apr-14,83
CS4355,30-Sep-14,77
CS4363,09-Oct-14,102
CS4285,27-Jan-15,38
CS3317,15-Feb-14,41
CS5050,03-Mar-15,38
CS5855,26-Feb-15,63
CS3411,28-Feb-15,48
CS3076,23-May-14,69
CS5208,14-Feb-15,49
CS2540,28-Aug-14,87
CS1791,04-Jun-14,78
CS2329,11-Feb-14,67
CS6025,20-Feb-14,77
CS1433,20-Dec-14,99
CS4924,03-Aug-14,56
CS4136,07-Jan-14,79
CS2962,25-Oct-14,71
CS1839,06-Feb-14,52
CS4084,11-Feb-15,53
CS3758,02-Apr-14,55
CS2376,21-May-14,58
CS5043,22-Mar-14,85
CS5370,03-Oct-14,61
CS2269,24-Sep-14,53
CS4491,09-Mar-14,57
CS6085,12-Sep-14,87
CS3404,21-Sep-14,84
CS2618,10-Aug-14,90
CS4026,27-Dec-14,91
CS5420,15-May-14,43
CS5065,02-Jan-14,79
CS2502,04-Mar-14,91
CS1862,16-Jul-14,60
CS1194,24-Mar-14,52
CS2119,09-Dec-14,104
CS5983,03-Sep-14,38
CS2512,07-Jun-14,88
CS2531,08-Mar-14,46
CS2305,06-Feb-15,58
CS3100,09-May-14,87
CS3332,30-Dec-14,81
CS1590,07-Sep-14,63
CS3819,18-Jun-14,36
CS3568,28-Mar-14,83
CS1201,20-Jan-14,98
CS6092,27-Jan-14,45
CS2652,25-Aug-14,81
CS3911,29-Jul-14,49
CS4371,25-Jan-14,62
CS3165,20-Mar-14,62
CS4975,06-Nov-14,53
CS4368,19-Jul-14,40
CS5532,27-Dec-14,45
CS3355,24-Apr-14,43
CS4103,19-Jun-14,98
CS5464,07-Nov-14,58
CS4023,01-Feb-14,83
CS1438,08-Feb-15,94
CS3826,29-Mar-14,98
CS1527,15-Oct-14,104
CS1442,20-Apr-14,89
CS3572,17-Jan-14,63
CS3688,01-Mar-15,36
CS1865,02-Dec-14,93
CS1752,25-May-14,68
CS1634,15-Aug-14,103
CS5171,10-Mar-15,53
CS5310,09-Mar-15,52
CS1629,24-Sep-14,53
CS2255,24-Apr-14,83
CS1708,28-Aug-14,95
CS2013,20-Nov-14,54
CS4938,09-May-14,86
CS3408,23-Jul-14,35
CS5522,05-Oct-14,82
CS3807,02-Jan-14,41
CS5909,23-Apr-14,44
CS2427,15-Mar-15,89
CS2551,18-Jun-14,80
CS4807,22-Dec-14,61
CS2065,13-May-14,38
CS1803,18-May-14,87
CS4706,31-Jul-14,78
CS2474,22-Aug-14,83
CS4630,26-Jul-14,68
CS2736,13-Nov-14,73
CS2275,14-Feb-15,44
CS5000,25-Dec-14,69
CS4498,12-Oct-14,46
CS1463,08-Nov-14,68
CS2546,21-May-14,65
CS5751,03-Apr-14,75
CS4564,13-May-14,56
CS1357,21-Jun-14,57
CS4193,18-Aug-14,59
CS1145,08-Jul-14,88
CS4117,03-Jan-15,58
CS2787,11-Mar-14,63
CS3114,01-Jul-14,36
CS5115,20-Jan-15,50
CS4982,23-Feb-14,75
CS5374,13-Dec-14,59
CS2243,12-Aug-14,76
CS1639,24-Apr-14,75
CS1914,13-Jun-14,88
CS1656,24-Jan-15,102
CS4181,31-Jan-14,79
CS4158,14-Oct-14,96
CS2399,03-Sep-14,41
CS3812,01-Jan-14,50
CS2186,02-Jan-15,54
CS3442,17-Jun-14,50
CS5095,26-Jan-15,69
CS5711,25-Jun-14,63
CS1338,02-May-14,89
CS4563,28-Sep-14,62
CS3059,07-Jun-14,45
CS3084,19-May-14,86
CS2207,26-Jun-14,81
CS5894,29-Jan-14,100
CS4198,15-Jun-14,61
CS4375,17-Feb-15,48
CS1356,26-Dec-14,66
CS6056,25-Feb-14,78
CS4972,10-Apr-14,45
CS1238,17-Jul-14,65
CS4804,02-Feb-15,61
CS1708,05-Aug-14,95
CS1286,21-Jun-14,76
CS3026,10-Feb-15,55
CS1292,16-Mar-14,84
CS2563,15-Mar-15,41
CS5277,30-Aug-14,37
CS2984,24-Jan-15,43
CS2946,05-Mar-15,57
CS1855,10-Feb-14,85
CS4161,09-Sep-14,73
CS5708,08-Apr-14,64
CS6091,16-Jan-14,48
CS4179,19-Dec-14,92
CS3341,17-May-14,75
CS2741,17-Dec-14,54
CS3594,10-Jan-15,71
CS2814,21-Feb-15,39
CS2375,03-Jun-14,39
CS2432,21-Apr-14,58
CS2556,20-Jan-14,38
CS4613,03-Dec-14,62
CS1508,10-Nov-14,102
CS2186,07-Nov-14,59
CS2707,22-Oct-14,67
CS3161,29-Jul-14,74
CS5104,18-Aug-14,60
CS3637,11-Feb-14,54
CS4010,05-Mar-15,85
CS1544,24-Dec-14,49
CS5783,04-Jul-14,91
CS2872,24-Dec-14,84
CS5260,10-Mar-15,73
CS2889,13-May-14,84
CS2610,14-May-14,104
CS1986,01-Apr-14,100
CS4722,08-Apr-14,101
CS1964,27-Dec-14,37
CS3657,19-Aug-14,41
CS4199,15-Oct-14,46
CS3675,09-Sep-14,65
CS3561,26-Dec-14,71
CS2316,12-Jan-15,61
CS5616,25-May-14,36
CS1227,14-Jan-15,76
CS5802,12-Mar-15,102
CS4603,14-Aug-14,41
CS5154,20-Jan-14,48
CS3374,26-Aug-14,50
CS4676,12-Jun-14,61
CS1602,31-Jan-14,36
CS1358,28-Nov-14,39
CS2992,17-Aug-14,50
CS4566,15-Sep-14,98
CS1513,27-Sep-14,70
CS2602,27-Feb-14,70
CS5369,25-Dec-14,89
CS2414,21-Feb-14,103
CS3338,24-Jan-14,58
CS2043,05-Jan-14,93
CS5150,13-Sep-14,86
CS5627,13-Jun-14,35
CS4665,27-Jun-14,61
CS1160,29-Oct-14,39
CS4967,01-Sep-14,49
CS5755,06-Jul-14,51
CS3258,30-Oct-14,84
CS3565,19-Feb-15,91
CS2998,01-Aug-14,89
CS2467,03-Feb-15,43
CS1549,19-Feb-15,81
CS5661,01-May-14,41
CS2777,04-Jun-14,71
CS2912,13-Mar-14,40
CS5407,26-Oct-14,42
CS1200,01-Mar-14,82
CS2714,21-Dec-14,53
CS4415,26-Jan-14,36
CS4521,24-Jul-14,99
CS3356,29-Sep-14,56
CS4656,20-Jun-14,51
CS2424,14-Feb-15,85
CS3214,14-Feb-14,69
CS6000,15-Sep-14,75
CS5782,24-Apr-14,50
CS3622,03-Mar-15,101
CS2292,03-Nov-14,64
CS3244,08-Aug-14,102
CS4955,29-Aug-14,62
CS5322,22-Jan-15,50
CS5820,03-Feb-14,37
CS3055,22-Sep-14,76
CS2417,20-Feb-14,64
CS4798,04-Jul-14,94
CS1766,09-Mar-14,37
CS5330,04-Feb-14,39
CS2495,09-Nov-14,39
CS2781,17-Jan-15,62
CS1772,22-Jan-15,90
CS4210,06-Jul-14,47
CS5201,14-Feb-15,53
CS1717,26-Jan-15,38
CS2513,03-Jan-14,65
CS3760,29-Apr-14,65
CS4876,04-Mar-14,84
CS3161,30-Apr-14,45
CS5990,30-Sep-14,100
CS2189,06-Apr-14,47
CS2249,24-Sep-14,51
CS1742,05-Jan-15,53
CS1560,01-Jan-14,83
CS5251,26-Jan-14,44
CS2746,17-Feb-14,48
CS4727,19-Nov-14,64
CS4008,13-Oct-14,92
CS5248,11-Dec-14,77
CS5420,12-Feb-14,53
CS1954,11-Mar-15,105
CS5029,24-Nov-14,38
CS4773,30-Jan-14,86
CS4491,16-Aug-14,104
CS1250,13-Jun-14,78
CS2430,16-Mar-14,53
CS4209,03-Jun-14,81
CS5974,02-Dec-14,72
CS2622,29-Jul-14,79
CS4725,08-Sep-14,39
CS3715,04-Feb-14,47
CS1803,27-Jul-14,86
CS1183,31-Jan-14,67
CS2127,08-Nov-14,102
CS1787,13-Jun-14,100
CS3037,20-Nov-14,81
CS2078,15-Feb-14,102
CS3529,19-Oct-14,50
CS2834,17-Feb-15,80
CS3393,25-Aug-14,44
CS3590,04-Jan-15,51
CS5310,27-May-14,56
CS2116,12-Feb-15,71
CS5291,03-Apr-14,40
CS3662,04-Feb-15,74
CS3691,02-Apr-14,76
CS5672,05-Jan-14,77
CS4475,08-Feb-14,54
CS2342,15-May-14,62
CS5237,29-Aug-14,57
CS1665,14-Jun-14,86
CS3438,28-Aug-14,73
CS4576,29-Sep-14,103
CS3376,12-Sep-14,41
CS3984,17-Mar-14,51
CS5732,12-Oct-14,48
CS4496,21-Jun-14,47
CS3239,20-Jan-14,46
CS6021,25-Jun-14,36
CS5060,23-Feb-14,83
CS6054,04-Jun-14,88
CS2514,07-Feb-14,94
CS3013,07-Jul-14,76
CS4551,09-Nov-14,65
CS5121,08-Feb-15,69
CS2665,09-Jan-15,82
CS5146,13-Jan-14,54
CS4758,18-Jan-14,79
CS5945,06-Dec-14,88
CS1468,08-Feb-15,58
CS3433,19-Feb-15,91
CS4216,20-May-14,81
CS4971,02-Aug-14,56
CS5190,31-Jan-15,69
CS1299,01-Jul-14,80
CS3839,08-Apr-14,90
CS3865,19-Jan-14,98
CS2983,10-Sep-14,36
CS3203,26-Nov-14,87
CS3235,21-Sep-14,55
CS1324,19-Aug-14,40
CS1594,25-Dec-14,99
CS4271,23-Sep-14,50
CS1418,26-Jul-14,90
CS1599,17-Apr-14,36
CS2544,26-Mar-14,83
CS3548,11-Aug-14,55
CS6097,03-May-14,37
CS3394,09-Apr-14,105
CS2146,06-Mar-14,54
CS4339,10-Mar-15,52
CS2138,07-Nov-14,68
CS3420,13-Oct-14,76
CS3400,15-Feb-14,48
CS1564,21-Dec-14,77
CS3207,03-Apr-14,59
CS5477,02-Mar-15,78
CS2791,14-Jan-15,55
CS3264,04-May-14,97
CS3363,01-Aug-14,85
CS2038,06-Nov-14,52
CS4944,24-Aug-14,104
CS2163,01-Feb-14,40
CS5257,08-Aug-14,47
CS2600,26-Jul-14,48
CS3283,10-Sep-14,40
CS2300,26-Feb-14,46
CS6046,03-Nov-14,65
CS3133,03-Apr-14,42
CS3324,26-Jun-14,85
CS2536,17-Mar-14,95
CS3000,14-Aug-14,41
CS5401,04-Jan-14,75
CS2469,29-Dec-14,70
CS1982,18-Jan-15,92
CS3703,08-Sep-14,70
CS4738,13-Jul-14,41
CS3675,20-Nov-14,82
CS3381,13-Sep-14,56
CS3213,08-Apr-14,62
CS1178,18-Feb-14,47
CS1288,01-Jul-14,50
CS2296,19-Jan-15,98
CS1424,07-Jun-14,49
CS3702,03-Feb-14,58
CS3990,03-Dec-14,65
CS1261,19-Dec-14,40
CS1735,23-Apr-14,40
CS2119,09-Jan-15,104
CS1795,30-Aug-14,54
CS3020,21-Jan-14,49
CS2442,05-Dec-14,75
CS2954,08-Feb-14,86
CS2378,01-Feb-14,102
CS5986,03-Feb-15,47
CS3348,23-Feb-15,67
CS2118,22-May-14,69
CS4382,31-Aug-14,41
CS3161,30-Jul-14,56
CS2725,16-Jul-14,50
CS5278,08-Dec-14,81
CS4966,07-Aug-14,40
CS1879,25-Dec-14,90
CS4193,01-Aug-14,74
CS6098,12-Mar-15,88
CS2065,07-Mar-15,76
CS1712,12-Jun-14,82
CS4835,12-Feb-15,59
CS3980,30-Mar-14,57
CS5669,11-Mar-14,71
CS2886,01-Apr-14,69
CS4957,31-Aug-14,40
CS4563,21-Mar-14,92
CS2154,08-Sep-14,71
CS5898,14-Jun-14,56
CS3707,29-Jan-14,36
CS3367,17-Nov-14,66
CS4983,03-Feb-15,64
CS2571,04-Feb-15,83
CS2220,15-Oct-14,56
CS3444,12-Jan-15,74
CS5437,24-Dec-14,55
CS4109,27-Sep-14,46
CS1780,30-Sep-14,81
CS5988,07-Sep-14,55
CS1838,04-Jan-15,74
CS3052,15-Nov-14,80
CS2961,07-Feb-14,104
CS3260,17-Feb-14,103
CS2117,19-Feb-15,53
CS5552,28-Jan-14,41
CS1943,14-Jan-14,101
CS2628,12-Feb-15,94
CS3356,27-Feb-14,96
CS4739,22-Nov-14,41
CS4355,22-Jan-14,60
CS5741,04-Sep-14,95
CS4625,14-Jul-14,70
CS2975,10-Aug-14,51
CS4812,22-Nov-14,101
CS4953,28-Feb-14,90
CS2363,27-Jan-14,43
CS3789,13-Apr-14,64
CS2996,28-Nov-14,41
CS4050,17-Nov-14,40
CS1208,11-May-14,90
CS1588,15-Jun-14,70
CS3883,12-Nov-14,62
CS3013,19-Feb-15,105
CS4484,03-Jul-14,78
CS3517,12-Sep-14,77
CS5359,08-Nov-14,88
CS2758,19-Feb-15,46
CS2934,19-Oct-14,58
CS2699,10-Jul-14,60
CS1825,10-Jul-14,82
CS4416,14-Jun-14,77
CS5361,10-Sep-14,83
CS1938,21-Feb-15,49
CS4855,27-Jan-15,56
CS4869,22-Dec-14,76
CS2824,17-Oct-14,94
CS3081,21-Oct-14,85
CS3170,10-Jul-14,44
CS4708,28-Nov-14,87
CS3592,17-Jul-14,48
CS3927,29-Apr-14,84
CS5359,23-Jan-14,96
CS2234,05-Jul-14,89
CS5807,19-Feb-14,95
CS2529,26-Sep-14,71
CS5067,11-Aug-14,68
CS5347,21-Feb-14,58
CS4376,16-Oct-14,55
CS3406,22-Jul-14,38
CS1568,25-Nov-14,78
CS1216,04-Aug-14,79
CS1708,16-Aug-14,72
CS1959,15-Nov-14,60
CS2568,07-Jan-15,46
CS4640,05-Oct-14,94
CS2574,31-Oct-14,61
CS2057,23-Feb-15,50
CS5586,05-Jan-14,48
CS2175,25-Jun-14,47
CS3003,02-Jan-14,62
CS2599,08-Mar-14,36
CS2822,09-Mar-14,43
CS1429,04-Nov-14,94
CS4484,01-Apr-14,95
CS1991,31-Aug-14,54
CS3697,23-Sep-14,45
CS5018,21-Aug-14,96
CS5862,18-Oct-14,83
CS2705,21-Jan-14,103
CS5835,23-Dec-14,92
CS3274,17-Dec-14,79
CS5362,18-Oct-14,89
CS4360,10-Aug-14,69
CS5973,19-Jun-14,55
CS2522,30-Apr-14,95
CS2944,07-Jul-14,100
CS2992,28-Sep-14,40
CS4213,21-Apr-14,51
CS3914,13-Mar-14,97
CS3334,03-Jan-15,75
CS3600,12-May-14,66
CS4277,30-Mar-14,61
CS5750,13-Jul-14,64
CS5560,29-Mar-14,72
CS3888,18-Feb-15,42
CS1463,09-Jan-14,57
CS5968,28-Apr-14,93
CS1391,15-May-14,48
CS5070,14-Sep-14,80
CS4844,25-May-14,72
CS5990,19-Oct-14,89
CS5057,10-Apr-14,105
CS2180,07-Apr-14,69
CS3384,25-Jul-14,83
CS3808,08-Dec-14,92
CS2729,19-Sep-14,72
CS1575,18-Jan-15,62
CS4871,03-Mar-14,80
CS5276,02-Sep-14,62
CS4304,03-Apr-14,94
CS5240,01-Nov-14,104
CS2881,06-May-14,94
CS5461,01-May-14,73
CS4294,20-Nov-14,50
CS2054,31-Aug-14,89
CS3651,19-May-14,74
CS1759,16-Jun-14,93
CS5388,20-Aug-14,89
CS5118,03-Oct-14,72
CS3521,09-Mar-14,61
CS5040,16-Apr-14,48
CS3170,02-Oct-14,73
CS3789,07-Jun-14,38
CS3078,11-Sep-14,40
CS3699,01-Mar-14,97
CS3560,14-Mar-15,55
CS4861,26-Dec-14,54
CS2167,19-Jan-15,45
CS3176,15-Jun-14,35
CS5140,22-Dec-14,74
CS2688,06-Feb-14,95
CS1880,24-Sep-14,49
CS3603,03-Sep-14,41
CS2690,03-Apr-14,93
CS3591,05-Dec-14,49
CS4511,27-Jul-14,64
CS3713,10-Dec-14,72
CS2529,29-Mar-14,91
CS5255,07-Jan-14,57
CS5855,13-Aug-14,42
CS3536,15-Mar-14,92
CS2613,02-Jan-14,41
CS1675,28-Sep-14,79
CS6046,30-Jun-14,45
CS4844,18-Oct-14,55
CS3783,15-Jan-15,83
CS3583,05-Oct-14,74
CS4871,16-Feb-15,95
CS2130,26-Sep-14,64
CS2202,18-Jan-14,44
CS3046,13-Jan-15,105
CS3033,23-Aug-14,43
CS5246,23-Jan-14,90
CS5733,29-May-14,94
CS1957,23-Jul-14,85
CS3839,12-Feb-14,48
CS3132,12-Mar-15,94
CS2842,16-Nov-14,87
CS2823,28-Sep-14,90
CS4352,11-Apr-14,93
CS3489,06-Jan-15,39
CS2914,18-Dec-14,63
CS1545,04-Feb-14,66
CS1990,01-May-14,92
CS2688,13-Feb-14,57
CS3165,21-Nov-14,101
CS1164,02-Apr-14,84
CS4930,17-Oct-14,41
CS1904,20-Sep-14,49
CS1883,21-May-14,95
CS3013,29-May-14,49
CS3605,24-May-14,62
CS2394,02-Sep-14,67
CS3118,01-Mar-15,86
CS1457,12-Mar-14,90
CS1273,07-Mar-14,65
CS2624,19-Feb-14,104
CS3663,17-Jan-14,38
CS3904,16-Jun-14,42
CS1246,25-May-14,92
CS6025,16-Aug-14,101
CS5140,05-May-14,63
CS5733,30-Jan-15,82
CS3031,08-Jan-14,46
CS5353,24-Jun-14,35
CS2843,05-Jul-14,72
CS1794,02-Apr-14,103
CS4726,27-May-14,85
CS2327,09-Feb-14,65
CS2035,13-Jun-14,104
CS4438,12-Jan-15,39
CS5044,29-Oct-14,99
CS5420,11-Jun-14,55
CS1893,21-Jul-14,86
CS5300,29-May-14,93
CS1800,14-Mar-15,77
CS3528,31-Jan-14,44
CS4310,06-Oct-14,56
CS4450,25-Aug-14,85
CS4307,28-Jan-15,67
CS1406,16-Jan-15,65
CS2830,23-Nov-14,40
CS2197,19-Nov-14,67
CS6022,21-Sep-14,90
CS2119,14-Oct-14,87
CS4749,16-Sep-14,40
CS2002,28-May-14,69
CS3876,05-Dec-14,87
CS6034,12-Jan-15,43
CS4825,28-Feb-15,90
CS3970,08-Jan-15,70
CS3935,01-Jan-15,46
CS1286,07-Jan-15,53
CS5035,12-Jan-15,91
CS4200,15-Jan-15,52
CS4606,27-Mar-14,48
CS5697,26-Oct-14,69
CS5449,16-Oct-14,101
CS1843,14-Mar-15,95
CS4678,18-Oct-14,47
CS1878,26-Jul-14,60
CS3188,23-Jan-14,77
CS1450,17-Jan-15,68
CS1312,11-Nov-14,89
CS1301,22-May-14,70
CS4494,04-Jan-15,73
CS2698,08-Jan-14,45
CS2809,18-Jan-14,100
CS1114,12-Feb-15,79
CS2430,01-Feb-15,47
CS4228,19-Oct-14,77
CS3417,01-Dec-14,93
CS4837,30-Jun-14,45
CS5908,21-Apr-14,47
CS4609,22-Jan-14,96
CS2988,26-Feb-15,54
CS1506,03-Sep-14,35
CS2040,06-Dec-14,88
CS2004,13-Nov-14,62
CS3775,05-Jun-14,56
CS4705,16-Jun-14,97
CS1376,26-Dec-14,87
CS5589,08-Feb-14,40
CS3290,19-Nov-14,84
CS5427,23-Oct-14,103
CS2142,25-May-14,43
CS1834,05-Jan-14,38
CS5041,04-Dec-14,46
CS6039,12-Jan-14,38
CS5413,18-Jan-14,93
CS6102,12-Mar-15,80
CS5051,16-May-14,61
CS2837,21-Nov-14,57
CS1174,31-Mar-14,69
CS3628,06-Jan-15,50
CS1178,03-Jun-14,98
CS5528,01-Apr-14,56
CS3263,15-Jan-15,88
CS4979,07-Sep-14,68
CS2979,23-Oct-14,36
CS4471,18-Aug-14,101
CS2845,31-Jul-14,64
CS3028,23-Feb-15,74
CS1857,06-Jan-14,104
CS3866,02-Nov-14,96
CS3535,19-Dec-14,73
CS4482,29-Mar-14,105
CS2007,25-Apr-14,49
CS1158,04-Dec-14,52
CS4820,10-Mar-15,44
CS3625,09-Jan-15,65
CS2400,27-Jun-14,74
CS1969,18-Jan-14,100
CS5984,02-Jun-14,57
CS2878,29-Aug-14,64
CS1235,26-Jun-14,37
CS2036,27-Jan-15,73
CS1201,23-Jan-15,70
CS1366,28-Dec-14,71
CS2059,13-Jul-14,83
CS2437,11-Mar-14,50
CS5678,27-Apr-14,96
CS5797,06-Jan-15,40
CS5812,04-Dec-14,41
CS5703,12-Oct-14,38
CS5490,28-Feb-15,50
CS2046,19-Jul-14,73
CS5595,04-Feb-14,79
CS1470,25-May-14,35
CS3347,21-Jun-14,81
CS2754,21-Sep-14,104
CS1937,29-Nov-14,79
CS5527,08-Mar-14,39
CS1240,13-Jun-14,74
CS4108,09-Jan-15,64
CS5176,06-Feb-14,36
CS4463,09-Sep-14,92
CS3251,14-May-14,51
CS4285,25-Jan-14,78
CS3578,06-Jun-14,90
CS4254,29-Jul-14,47
CS3889,25-Sep-14,54
CS2835,09-May-14,65
