Returned,Order ID
Yes,CA-2014-124688
Yes,CA-2016-133368
Yes,CA-2017-168193
Yes,CA-2014-135657
Yes,CA-2016-105081
Yes,CA-2017-154214
Yes,CA-2015-107678
Yes,CA-2017-144064
Yes,CA-2017-101700
Yes,CA-2016-113341
Yes,CA-2015-139731
Yes,CA-2015-132941
Yes,CA-2015-146262
Yes,CA-2016-115917
Yes,US-2016-111528
Yes,CA-2017-142328
Yes,CA-2015-141593
Yes,CA-2017-121258
Yes,CA-2014-141726
Yes,CA-2017-167003
Yes,US-2015-160857
Yes,CA-2016-145261
Yes,CA-2017-112725
Yes,CA-2016-145919
Yes,CA-2017-140151
Yes,CA-2015-164882
Yes,CA-2017-123491
Yes,CA-2014-127012
Yes,CA-2016-123526
Yes,CA-2017-161557
Yes,CA-2015-150875
Yes,CA-2015-150770
Yes,US-2014-140452
Yes,CA-2015-149650
Yes,CA-2014-100867
Yes,CA-2017-140186
Yes,CA-2017-156391
Yes,CA-2015-157770
Yes,CA-2017-140963
Yes,CA-2017-154949
Yes,CA-2016-166275
Yes,US-2014-143287
Yes,CA-2014-151162
Yes,US-2017-103828
Yes,CA-2014-143840
Yes,CA-2014-160773
Yes,CA-2017-111556
Yes,CA-2017-140585
Yes,CA-2014-103373
Yes,CA-2016-159023
Yes,CA-2016-145492
Yes,CA-2017-118122
Yes,CA-2014-116785
Yes,US-2014-164763
Yes,CA-2017-122504
Yes,CA-2017-150910
Yes,CA-2015-162166
Yes,US-2016-140172
Yes,CA-2015-101910
Yes,CA-2017-156958
Yes,CA-2016-105585
Yes,CA-2016-148796
Yes,CA-2015-149636
