Employer_Code,Employer_Category1,Employer_Category2
COM0000078,B,1
COM0041958,B,4
COM0053893,A,4
COM0002789,A,4
COM0000162,B,4
COM0002234,B,4
COM0050733,A,4
COM0000211,C,4
COM0000987,B,4
COM0009530,A,4
COM0030355,A,4
COM0015852,C,4
COM0000284,C,4
COM0006745,B,4
COM0044136,A,4
COM0019884,B,4
COM0015018,B,4
COM0001798,C,4
COM0004381,A,4
COM0016625,B,4
COM0044531,A,4
COM0035890,A,4
COM0000915,B,4
COM0020778,B,4
COM0036389,A,4
COM0032899,A,4
COM0000559,A,4
COM0040822,A,4
COM0038332,B,4
COM0048659,A,4
COM0003316,B,4
COM0011463,A,4
COM0015351,A,4
COM0016405,B,4
COM0002554,C,4
COM0000534,A,4
COM0027657,A,4
COM0000066,C,1
COM0000180,A,4
COM0000063,A,1
COM0007723,B,4
COM0000956,A,4
COM0023903,A,4
COM0010977,A,4
COM0004947,B,4
COM0000444,B,4
COM0039343,B,4
COM0006947,B,4
COM0000047,B,3
COM0000509,C,4
COM0035961,A,4
COM0022153,A,4
COM0000410,A,4
COM0012848,A,4
COM0001185,B,4
COM0000909,A,4
COM0055935,B,4
COM0027927,A,4
COM0000779,B,4
COM0000057,A,3
COM0000781,B,4
COM0009923,B,4
COM0000648,A,4
COM0022184,A,4
COM0032204,A,4
COM0041631,C,4
COM0002371,A,4
COM0003017,A,4
COM0000022,B,2
COM0000740,B,4
COM0003012,B,4
COM0004280,B,4
COM0038917,A,4
COM0000071,C,3
COM0050759,A,4
COM0004062,C,4
COM0000194,C,4
COM0043498,A,4
COM0000266,B,4
COM0039056,B,4
COM0004729,A,4
COM0022977,A,4
COM0002621,A,4
COM0054367,B,4
COM0000505,A,4
COM0040778,B,4
COM0000275,A,4
COM0043637,A,4
COM0000382,A,4
COM0005832,A,4
COM0000230,A,4
COM0004439,C,4
COM0006394,C,4
COM0006199,C,4
COM0017514,C,4
COM0039802,A,4
COM0002897,A,4
COM0013670,B,4
COM0034492,A,4
COM0000138,B,4
COM0000591,B,4
COM0001422,A,4
COM0040689,A,4
COM0004207,A,4
COM0002875,A,4
COM0000320,C,4
COM0005193,C,4
COM0025018,A,4
COM0026190,A,4
COM0026729,A,4
COM0000355,C,4
COM0003634,B,4
COM0002375,B,4
COM0044317,A,4
COM0000086,A,1
COM0005520,A,4
COM0022763,A,4
COM0000285,A,4
COM0053796,A,4
COM0000045,B,2
COM0000075,B,1
COM0027427,A,4
COM0002545,B,4
COM0015968,A,4
COM0000062,A,1
COM0010146,A,4
COM0000997,C,4
COM0039770,A,4
COM0000264,A,4
COM0001778,A,4
COM0000351,A,4
COM0005048,B,4
COM0033961,A,4
COM0055726,C,4
COM0037582,A,4
COM0000035,B,3
COM0035274,B,4
COM0002013,A,4
COM0045198,A,4
COM0016902,B,4
COM0011153,B,4
COM0003925,B,4
COM0001427,A,4
COM0000098,C,3
COM0005185,B,4
COM0000220,A,4
COM0003258,A,4
COM0000114,B,2
COM0009105,A,4
COM0045916,A,4
COM0043161,C,4
COM0004116,C,4
COM0002046,A,4
COM0000152,B,4
COM0000024,C,2
COM0036001,A,4
COM0000218,A,4
COM0050928,A,4
COM0009645,B,4
COM0000087,B,3
COM0054302,A,4
COM0000876,B,4
COM0004038,A,4
COM0000760,A,4
COM0000164,B,4
COM0006099,B,4
COM0035506,B,4
COM0044012,A,4
COM0006379,A,4
COM0021597,C,4
COM0026180,A,4
COM0000069,C,2
COM0036327,B,4
COM0029335,A,4
COM0000799,C,4
COM0001167,C,4
COM0001335,C,4
COM0011487,A,4
COM0000331,B,4
COM0052993,A,4
COM0021618,A,4
COM0000102,B,3
COM0001906,C,4
COM0000061,B,1
COM0003591,C,4
COM0021157,A,4
COM0001849,A,4
COM0028698,A,4
COM0031887,A,4
COM0001419,A,4
COM0002136,A,4
COM0032409,C,4
COM0041153,A,4
COM0022644,A,4
COM0005995,A,4
COM0022442,B,4
COM0040771,C,4
COM0012966,B,4
COM0000338,C,4
COM0000601,A,4
COM0050024,A,4
COM0049818,A,4
COM0017260,A,4
COM0000103,A,1
COM0048019,A,4
COM0018047,A,4
COM0048677,A,4
COM0009769,C,4
COM0002483,C,4
COM0013568,B,4
COM0017163,A,4
COM0008298,A,4
COM0013169,A,4
COM0000297,C,4
COM0049271,A,4
COM0038345,A,4
COM0030372,A,4
COM0023630,C,4
COM0014443,C,4
COM0054901,B,4
COM0021983,A,4
COM0053324,A,4
COM0015671,A,4
COM0051841,A,4
COM0048891,A,4
COM0002743,C,4
COM0010368,A,4
COM0001040,B,4
COM0000097,C,3
COM0009455,B,4
COM0000213,C,4
COM0000112,B,3
COM0003241,C,4
COM0006822,B,4
COM0000006,C,1
COM0031842,A,4
COM0006313,A,4
COM0000890,C,4
COM0052717,B,4
COM0005795,A,4
COM0048914,A,4
COM0013537,A,4
COM0024987,B,4
COM0016089,A,4
COM0017165,A,4
COM0054933,C,4
COM0001190,B,4
COM0001452,A,4
COM0037595,B,4
COM0046734,A,4
COM0001501,B,4
COM0027801,C,4
COM0000132,A,4
COM0004629,B,4
COM0006400,A,4
COM0000609,A,4
COM0006500,C,4
COM0031605,C,4
COM0047332,A,4
COM0000397,C,4
COM0037619,C,4
COM0030506,C,4
COM0045827,A,4
COM0002570,A,4
COM0000182,B,4
COM0025101,C,4
COM0040302,A,4
COM0047102,B,4
COM0000135,A,4
COM0005545,B,4
COM0046225,B,4
COM0010241,A,4
COM0002112,B,4
COM0027070,A,4
COM0006236,B,4
COM0054407,C,4
COM0000466,A,4
COM0009864,B,4
COM0016192,A,4
COM0000668,C,4
COM0007680,C,4
COM0033170,A,4
COM0000575,B,4
COM0003342,A,4
COM0017976,A,4
COM0039392,A,4
COM0053748,A,4
COM0000862,C,4
COM0006073,A,4
COM0025040,A,4
COM0011920,A,4
COM0046522,A,4
COM0000455,C,4
COM0000237,A,4
COM0012956,C,4
COM0007820,A,4
COM0048146,A,4
COM0000215,A,4
COM0048120,A,4
COM0002469,C,4
COM0030199,A,4
COM0043049,B,4
COM0014486,B,4
COM0055449,B,4
COM0045534,A,4
COM0035988,A,4
COM0005209,A,4
COM0004983,A,4
COM0007589,A,4
COM0056139,A,4
COM0000687,C,4
COM0038282,A,4
COM0005310,A,4
COM0014566,A,4
COM0004236,A,4
COM0048604,A,4
COM0006885,B,4
COM0035304,C,4
COM0002236,B,4
COM0033882,A,4
COM0017872,A,4
COM0054232,A,4
COM0012385,A,4
COM0011499,C,4
COM0039432,A,4
COM0052475,A,4
COM0055311,A,4
COM0003689,C,4
COM0003902,A,4
COM0011191,A,4
COM0003590,A,4
COM0028913,C,4
COM0005474,A,4
COM0000523,C,4
COM0000226,C,4
COM0050785,A,4
COM0047623,A,4
COM0032752,A,4
COM0000469,C,4
COM0004255,B,4
COM0003052,B,4
COM0007247,B,4
COM0006741,A,4
COM0003706,A,4
COM0012247,B,4
COM0011515,B,4
COM0052181,C,4
COM0002429,B,4
COM0039666,A,4
COM0005394,B,4
COM0000154,B,4
COM0019377,A,4
COM0039493,A,4
COM0000350,B,4
COM0000918,A,4
COM0015182,C,4
COM0004067,C,4
COM0054755,A,4
COM0001417,C,4
COM0000100,B,2
COM0002706,C,4
COM0000399,C,4
COM0019509,A,4
COM0002128,B,4
COM0006987,A,4
COM0002195,C,4
COM0000660,C,4
COM0013511,A,4
COM0053582,B,4
COM0042781,A,4
COM0041709,A,4
COM0007108,B,4
COM0001472,C,4
COM0005642,B,4
COM0001578,A,4
COM0000672,B,4
COM0007451,B,4
COM0024538,A,4
COM0031051,A,4
COM0036690,B,4
COM0056687,B,4
COM0024076,A,4
COM0000072,C,2
COM0013835,B,4
COM0025988,A,4
COM0001907,A,4
COM0023184,C,4
COM0017135,A,4
COM0003073,C,4
COM0000526,B,4
COM0055197,B,4
COM0001526,B,4
COM0000988,B,4
COM0036765,A,4
COM0043433,A,4
COM0031112,A,4
COM0007102,B,4
COM0040488,A,4
COM0034369,A,4
COM0031002,A,4
COM0006488,B,4
COM0007327,A,4
COM0036168,A,4
COM0001606,A,4
COM0015404,C,4
COM0053527,B,4
COM0006329,B,4
COM0000354,C,4
COM0006956,B,4
COM0030663,B,4
COM0009834,B,4
COM0016077,B,4
COM0014182,A,4
COM0000971,A,4
COM0000089,B,2
COM0014316,A,4
COM0001077,A,4
COM0002881,A,4
COM0000583,B,4
COM0016424,A,4
COM0048448,A,4
COM0039734,A,4
COM0002912,B,4
COM0011497,A,4
COM0000905,A,4
COM0022826,A,4
COM0045565,A,4
COM0000309,C,4
COM0001125,C,4
COM0012355,B,4
COM0000597,B,4
COM0040148,A,4
COM0012277,B,4
COM0002285,C,4
COM0000460,A,4
COM0001434,C,4
COM0038847,C,4
COM0000700,B,4
COM0002186,B,4
COM0034659,A,4
COM0014587,C,4
COM0015207,A,4
COM0044825,A,4
COM0032250,A,4
COM0016844,A,4
COM0007205,C,4
COM0004755,A,4
COM0037002,A,4
COM0002040,A,4
COM0018111,B,4
COM0054536,A,4
COM0013412,C,4
COM0040888,B,4
COM0037505,A,4
COM0021964,B,4
COM0018141,A,4
COM0007378,A,4
COM0037876,C,4
COM0000865,A,4
COM0012401,B,4
COM0049981,A,4
COM0034794,C,4
COM0004411,A,4
COM0003264,C,4
COM0000033,B,2
COM0033256,A,4
COM0010063,A,4
COM0001795,A,4
COM0054855,C,4
COM0027485,C,4
COM0009422,A,4
COM0000017,C,1
COM0035897,A,4
COM0021696,A,4
COM0028202,A,4
COM0003707,B,4
COM0024457,A,4
COM0003451,B,4
COM0000980,B,4
COM0014142,A,4
COM0001677,A,4
COM0012459,A,4
COM0009692,B,4
COM0000365,C,4
COM0045089,C,4
COM0027997,B,4
COM0000142,C,4
COM0053131,B,4
COM0012274,A,4
COM0022863,A,4
COM0049248,A,4
COM0052440,A,4
COM0039141,A,4
COM0042266,B,4
COM0033081,C,4
COM0000482,C,4
COM0043533,A,4
COM0000863,A,4
COM0026867,A,4
COM0026799,B,4
COM0049849,A,4
COM0038062,A,4
COM0006694,C,4
COM0002557,A,4
COM0002476,A,4
COM0002489,B,4
COM0000289,C,4
COM0031824,A,4
COM0001355,B,4
COM0039437,C,4
COM0035931,A,4
COM0012879,B,4
COM0026344,A,4
COM0052534,B,4
COM0003441,B,4
COM0023283,C,4
COM0005392,B,4
COM0000462,A,4
COM0046461,A,4
COM0034110,A,4
COM0008233,A,4
COM0003185,A,4
COM0005953,B,4
COM0040526,C,4
COM0044409,A,4
COM0039054,B,4
COM0000835,B,4
COM0037672,B,4
COM0006802,A,4
COM0012645,C,4
COM0003220,A,4
COM0029993,A,4
COM0032411,B,4
COM0000891,A,4
COM0000122,B,3
COM0006636,A,4
COM0012486,C,4
COM0042341,A,4
COM0001704,A,4
COM0013131,B,4
COM0000406,C,4
COM0000590,C,4
COM0047943,A,4
COM0053718,A,4
COM0037068,B,4
COM0007895,A,4
COM0001003,C,4
COM0005752,B,4
COM0000169,A,4
COM0000818,B,4
COM0000540,C,4
COM0052037,C,4
COM0001968,B,4
COM0003390,C,4
COM0043188,A,4
COM0023777,A,4
COM0000330,C,4
COM0022795,A,4
COM0001435,C,4
COM0039366,A,4
COM0010610,A,4
COM0000188,C,4
COM0039560,A,4
COM0001022,C,4
COM0000977,A,4
COM0025571,A,4
COM0033121,A,4
COM0003434,C,4
COM0029795,A,4
COM0031763,B,4
COM0015338,A,4
COM0050204,A,4
COM0041507,A,4
COM0000174,C,4
COM0010081,B,4
COM0000028,B,3
COM0029967,A,4
COM0056132,B,4
COM0004267,C,4
COM0018397,A,4
COM0010668,A,4
COM0013111,A,4
COM0045833,A,4
COM0000506,A,4
COM0001482,A,4
COM0005181,A,4
COM0018380,A,4
COM0002654,B,4
COM0052859,C,4
COM0001223,C,4
COM0000427,C,4
COM0047991,A,4
COM0006699,A,4
COM0009330,B,4
COM0010708,B,4
COM0045469,B,4
COM0000329,A,4
COM0013633,C,4
COM0035270,B,4
COM0000364,B,4
COM0028411,A,4
COM0008057,B,4
COM0002587,A,4
COM0001818,B,4
COM0043083,A,4
COM0000236,A,4
COM0051618,A,4
COM0001224,A,4
COM0001605,B,4
COM0000310,B,4
COM0035406,A,4
COM0035631,B,4
COM0005242,B,4
COM0000546,B,4
COM0051204,A,4
COM0003510,A,4
COM0000012,A,2
COM0000718,B,4
COM0000020,A,1
COM0000117,B,3
COM0023760,A,4
COM0033233,A,4
COM0005227,A,4
COM0013080,A,4
COM0023546,A,4
COM0001368,B,4
COM0010463,A,4
COM0026898,B,4
COM0000228,C,4
COM0007620,C,4
COM0000669,C,4
COM0000873,B,4
COM0000148,C,4
COM0016389,A,4
COM0000168,C,4
COM0014378,C,4
COM0042912,A,4
COM0013981,A,4
COM0000692,A,4
COM0042194,B,4
COM0054324,A,4
COM0019385,A,4
COM0049697,B,4
COM0052782,C,4
COM0000110,A,2
COM0000396,C,4
COM0029718,C,4
COM0001075,C,4
COM0007287,A,4
COM0025594,A,4
COM0036908,A,4
COM0000155,C,4
COM0046401,A,4
COM0014981,A,4
COM0016981,C,4
COM0000026,B,3
COM0000051,C,1
COM0045472,C,4
COM0043157,C,4
COM0002687,A,4
COM0024434,B,4
COM0013306,A,4
COM0038705,A,4
COM0003166,A,4
COM0000966,C,4
COM0020643,A,4
COM0001564,C,4
COM0003187,B,4
COM0000543,C,4
COM0054041,B,4
COM0000436,A,4
COM0031093,B,4
COM0042135,A,4
COM0002444,A,4
COM0015212,C,4
COM0055219,B,4
COM0040136,B,4
COM0000278,C,4
COM0041905,A,4
COM0031726,A,4
COM0049796,A,4
COM0000584,B,4
COM0033691,A,4
COM0049842,A,4
COM0022421,A,4
COM0048808,A,4
COM0023052,B,4
COM0000627,B,4
COM0002779,A,4
COM0045843,A,4
COM0001653,A,4
COM0000772,A,4
COM0015721,A,4
COM0009104,A,4
COM0046062,A,4
COM0001736,A,4
COM0000874,A,4
COM0000156,B,4
COM0008673,A,4
COM0000287,B,4
COM0000172,A,4
COM0011870,A,4
COM0036381,B,4
COM0013748,A,4
COM0006152,A,4
COM0002338,B,4
COM0000291,A,4
COM0029460,B,4
COM0000714,A,4
COM0000170,A,4
COM0000010,A,1
COM0000837,C,4
COM0026294,A,4
COM0006395,A,4
COM0000232,C,4
COM0012004,B,4
COM0009069,A,4
COM0000175,B,4
COM0004899,C,4
COM0001777,B,4
COM0006355,A,4
COM0046517,B,4
COM0003034,B,4
COM0018145,A,4
COM0025877,A,4
COM0000068,A,3
COM0035365,A,4
COM0000366,C,4
COM0035069,A,4
COM0002225,B,4
COM0041925,A,4
COM0011225,C,4
COM0000240,A,4
COM0000146,B,4
COM0000235,C,4
COM0006174,B,4
COM0033162,B,4
COM0005451,A,4
COM0050814,A,4
COM0001247,C,4
COM0008201,B,4
COM0028627,A,4
COM0030287,A,4
COM0003680,B,4
COM0021304,C,4
COM0056001,A,4
COM0002594,C,4
COM0023914,A,4
COM0048662,A,4
COM0043404,B,4
COM0000288,B,4
COM0004226,B,4
COM0000521,C,4
COM0001246,C,4
COM0000065,C,2
COM0006250,A,4
COM0056207,A,4
COM0002530,C,4
COM0009809,A,4
COM0032674,A,4
COM0001236,B,4
COM0002828,C,4
COM0001577,B,4
COM0000143,B,4
COM0020215,A,4
COM0048043,B,4
COM0011234,A,4
COM0006039,A,4
COM0009617,A,4
COM0040978,A,4
COM0000703,B,4
COM0021208,A,4
COM0000219,C,4
COM0004277,B,4
COM0002171,A,4
COM0023251,A,4
COM0041426,B,4
COM0001179,A,4
COM0001168,B,4
COM0056318,B,4
COM0000822,B,4
COM0054433,A,4
COM0034873,C,4
COM0006269,C,4
COM0012224,B,4
COM0055848,B,4
COM0002310,B,4
COM0018563,A,4
COM0014804,C,4
COM0000171,C,4
COM0017703,A,4
COM0032658,A,4
COM0001433,C,4
COM0011928,B,4
COM0036578,A,4
COM0049251,A,4
COM0012225,B,4
COM0009735,C,4
COM0000107,C,1
COM0000279,B,4
COM0006875,B,4
COM0017159,A,4
COM0029429,B,4
COM0000077,B,3
COM0054038,B,4
COM0034932,B,4
COM0003221,C,4
COM0021628,A,4
COM0002436,B,4
COM0025186,A,4
COM0000800,B,4
COM0015629,A,4
COM0023434,A,4
COM0030870,A,4
COM0047365,A,4
COM0001379,B,4
COM0006530,B,4
COM0001913,A,4
COM0000342,A,4
COM0004475,A,4
COM0000839,B,4
COM0016589,A,4
COM0037571,A,4
COM0037747,A,4
COM0027679,C,4
COM0000420,A,4
COM0001295,B,4
COM0000292,B,4
COM0000370,B,4
COM0002973,B,4
COM0001847,B,4
COM0000413,A,4
COM0000149,C,4
COM0040097,C,4
COM0014225,A,4
COM0013115,A,4
COM0041016,A,4
COM0000124,B,2
COM0013906,A,4
COM0029625,A,4
COM0034405,A,4
COM0005514,A,4
COM0002682,A,4
COM0000070,B,3
COM0001678,B,4
COM0021917,A,4
COM0046165,C,4
COM0004706,C,4
COM0011286,C,4
COM0014792,C,4
COM0006137,A,4
COM0004208,A,4
COM0000628,B,4
COM0012908,A,4
COM0001439,A,4
COM0046903,C,4
COM0014678,A,4
COM0021838,C,4
COM0032375,B,4
COM0022714,A,4
COM0000043,B,3
COM0000439,C,4
COM0002012,B,4
COM0017149,B,4
COM0012425,C,4
COM0003147,C,4
COM0044500,A,4
COM0050704,C,4
COM0010975,B,4
COM0015963,A,4
COM0020249,B,4
COM0022003,A,4
COM0000242,C,4
COM0025837,A,4
COM0014598,A,4
COM0029894,B,4
COM0001608,A,4
COM0034385,A,4
COM0039864,A,4
COM0028973,A,4
COM0008246,C,4
COM0049488,A,4
COM0000304,A,4
COM0000434,B,4
COM0002122,A,4
COM0026980,B,4
COM0000369,A,4
COM0008593,B,4
COM0000303,B,4
COM0048626,C,4
COM0001010,C,4
COM0002089,C,4
COM0027028,B,4
COM0000039,C,1
COM0003481,A,4
COM0021901,A,4
COM0000336,C,4
COM0000233,B,4
COM0019268,A,4
COM0000036,C,2
COM0031698,B,4
COM0003247,C,4
COM0000038,B,1
COM0041612,C,4
COM0047749,A,4
COM0005022,B,4
COM0020241,A,4
COM0001206,C,4
COM0016545,A,4
COM0027144,A,4
COM0000159,B,4
COM0000496,A,4
COM0002784,A,4
COM0001664,A,4
COM0000622,C,4
COM0014439,B,4
COM0018399,A,4
COM0035294,A,4
COM0006976,C,4
COM0045276,A,4
COM0013053,C,4
COM0001554,B,4
COM0001294,B,4
COM0003523,A,4
COM0000282,A,4
COM0000512,C,4
COM0049836,C,4
COM0003920,C,4
COM0005816,A,4
COM0004644,A,4
COM0001713,A,4
COM0004518,C,4
COM0027295,A,4
COM0018061,A,4
COM0010548,C,4
COM0002179,B,4
COM0007781,A,4
COM0018157,B,4
COM0000532,B,4
COM0005095,B,4
COM0020645,A,4
COM0030494,B,4
COM0022921,A,4
COM0014731,A,4
COM0027449,C,4
COM0000246,C,4
COM0010538,B,4
COM0001271,A,4
COM0030533,A,4
COM0000376,B,4
COM0049116,C,4
COM0000101,C,1
COM0000208,B,4
COM0039846,A,4
COM0000379,A,4
COM0019859,B,4
COM0030507,A,4
COM0014336,B,4
COM0056296,A,4
COM0000127,C,2
COM0002347,A,4
COM0002657,A,4
COM0040342,A,4
COM0047553,B,4
COM0008747,A,4
COM0007799,A,4
COM0007316,A,4
COM0001277,B,4
COM0000407,A,4
COM0008893,B,4
COM0012885,A,4
COM0034325,A,4
COM0004165,B,4
COM0013329,A,4
COM0054774,A,4
COM0012130,B,4
COM0009030,B,4
COM0021655,A,4
COM0000259,B,4
COM0011168,A,4
COM0038583,C,4
COM0000524,C,4
COM0002783,B,4
COM0025310,A,4
COM0032682,A,4
COM0006989,B,4
COM0000486,A,4
COM0006549,B,4
COM0000633,C,4
COM0044657,A,4
COM0001867,C,4
COM0000850,C,4
COM0000165,C,4
COM0001614,A,4
COM0008331,A,4
COM0011117,A,4
COM0000585,B,4
COM0011041,B,4
COM0004673,B,4
COM0000158,C,4
COM0000948,A,4
COM0011545,C,4
COM0026445,B,4
COM0012456,B,4
COM0003928,C,4
COM0017890,B,4
COM0045748,A,4
COM0055157,A,4
COM0045528,A,4
COM0002462,B,4
COM0037751,A,4
COM0009235,A,4
COM0032951,B,4
COM0049077,C,4
COM0011747,B,4
COM0044253,A,4
COM0002969,A,4
COM0000183,C,4
COM0009540,A,4
COM0001063,C,4
COM0003554,C,4
COM0004455,B,4
COM0012742,A,4
COM0015822,B,4
COM0006109,C,4
COM0012733,A,4
COM0008086,A,4
COM0011362,C,4
COM0000113,A,1
COM0000116,C,1
COM0033964,A,4
COM0000538,C,4
COM0012929,B,4
COM0000385,B,4
COM0000302,B,4
COM0000928,C,4
COM0039005,A,4
COM0003225,C,4
COM0048717,A,4
COM0002341,B,4
COM0002683,A,4
COM0009221,A,4
COM0013772,A,4
COM0001375,B,4
COM0000054,B,3
COM0056105,A,4
COM0003527,C,4
COM0053482,B,4
COM0020194,C,4
COM0000814,A,4
COM0014882,A,4
COM0001382,C,4
COM0005134,A,4
COM0006747,B,4
COM0003924,B,4
COM0009716,B,4
COM0032557,A,4
COM0002414,A,4
COM0015740,A,4
COM0007391,B,4
COM0000542,B,4
COM0001347,C,4
COM0012412,B,4
COM0001085,A,4
COM0004776,B,4
COM0001235,A,4
