ID,Interest_Rate,EMI
APPA20410002806,31.5,433
APPA20414642807,31.5,510
APPA20437242823,16.75,1112
APPA20458338641,13.99,2459
APPA20470797413,20,372
APPA20514766632,14.49,1654
APPA20524619807,31.5,567
APPA20562925627,31.5,567
APPA20575564207,20,372
APPA20587064643,33,792
APPA20614673432,13.99,1557
APPA20647995404,13.49,1035
APPA20652618232,35.5,393
APPA20653928826,16,3648
APPA20668985228,15,1475
APPA20672527828,13,705
APPA20673866612,37,881
APPA20676132844,15.75,967
APPA20678311825,24,949
APPA20683533015,15.5,698
APPA20695437214,31.5,433
APPA20715424628,15.25,904
APPA20743695031,28.5,1103
APPA20743855027,14.49,1858
APPA20747639828,13.99,1475
APPA20749543022,16.2,1707
APPA20762396412,14.85,2775
APPA20779531435,16,1190
APPA20783488049,18.25,766
APPA20786448809,20,557
APPA20805538426,20,2305
APPA20813707422,20,1325
APPA20820954649,14.85,2608
APPA20821592602,20,874
APPA20830326223,31.5,433
APPA20837287645,14.85,1038
APPA20841222618,14.85,346
APPA20846607223,20,926
APPA20848937428,20,304
APPA20852456005,15.5,481
APPA20884381238,13.25,3046
APPA20885089222,14.85,692
APPA20894214648,20,530
APPA20897302425,18.25,1021
APPA20899705412,20,1007
APPA20922798442,18,1234
APPA20927337045,24,863
APPA20931646246,13.99,1448
APPA20936153248,28.5,717
APPA20980294605,13.99,960
APPA20983884047,14.85,2371
APPA20987162629,31.5,433
APPA20994094631,31.5,959
APPA30012749429,14.5,1572
APPA30042598423,15.25,478
APPA30050641417,19.75,370
APPA30085706044,18.4,1127
APPA30091755236,14.85,1730
APPA30109101248,15.75,526
APPA30112829821,20,1018
APPA30116776413,20,1060
APPA30125623849,35.5,294
APPA30131193231,13.5,956
APPA30132975822,17,373
APPA30135907434,17,1070
APPA30148717847,24,863
APPA30151216244,17.5,718
APPA30155091624,29,1842
APPA30161594815,17.5,1077
APPA30163156004,19.75,909
APPA30164345033,18.25,1101
APPA30172123407,13.99,1791
APPA30181442446,13,887
APPA30188499804,20,795
APPA30191672806,18.4,999
APPA30191888226,14.85,5189
APPA30209423015,17.5,994
APPA30235702016,19.75,1111
APPA30237252023,31.5,996
APPA30243208218,31.5,369
APPA30253668831,15.5,955
APPA30257046646,20,795
APPA30262668036,15.75,484
APPA30263389042,18.25,1098
APPA30296188242,13.5,460
APPA30303349429,18.4,512
APPA30303607833,13.5,1150
APPA30308037603,15.75,1451
APPA30312352807,14.85,1388
APPA30332453608,18.4,828
APPA30383304645,32.5,1221
APPA30385709224,13.5,339
APPA30395307222,14.85,1332
APPA30404115247,31.5,1107
APPA30406833419,20,1007
APPA30406904042,16.25,611
APPA30415344627,31.5,701
APPA30418819024,19,1167
APPA30434392029,31.5,369
APPA30453306018,31.5,959
APPA30458057644,20,397
APPA30461993413,20,662
APPA30488563023,18.25,363
APPA30516735435,31.5,346
APPA30534498609,18.25,500
APPA30540467225,20,530
APPA30546124005,18,917
APPA30548586609,22,1575
APPA30552096218,13,1426
APPA30566139048,37,974
APPA30578006843,13.99,1858
APPA30584303049,15.25,348
APPA30586303429,18.15,1031
APPA30596005223,20,874
APPA30613367222,19.75,508
APPA30628452412,20,926
APPA30631217436,31,1484
APPA30668284606,18.5,744
APPA30673694441,15.5,562
APPA30685679413,19,1167
APPA30741934008,13.99,2022
APPA30749059449,24,785
APPA30762275848,20,901
APPA30769093804,16.25,1223
APPA30770233643,14.85,833
APPA30772076633,16.75,494
APPA30789275207,13.99,4098
APPA30794996207,18.15,943
APPA30824272609,15.5,722
APPA30827283609,31.5,866
APPA30839528012,20,1060
APPA30841557439,20,1298
APPA30853249612,19.75,370
APPA30863881435,15.5,698
APPA30871438201,16.75,989
APPA30898085213,33,1246
APPA30899548823,31.5,369
APPA30904522443,18.4,948
APPA30918212619,13.99,628
APPA30921768407,28.5,496
APPA30932963018,18.5,513
APPA30938475042,13.75,3239
APPA30948454006,15.5,722
APPA30973252644,13,978
APPA30985009043,20,1522
APPA40008436635,35.5,455
APPA40016673232,13.99,1667
APPA40026987003,19,1297
APPA40036982615,13.99,1367
APPA40038218812,13.49,1787
APPA40065452837,15.25,4138
APPA40098703043,13,2683
APPA40106184231,13.49,955
APPA40114595841,14.85,1067
APPA40124501802,13.99,1475
APPA40126662642,16.25,353
APPA40143387029,18.25,300
APPA40143687637,18.25,1161
APPA40156328847,16.75,575
APPA40157587217,24,288
APPA40239371622,16.25,1058
APPA40249266001,16.75,493
APPA40251798647,31.5,1475
APPA40255492439,13.99,1442
APPA40259725831,20,1325
APPA40288157425,14.85,711
APPA40320572401,18.25,1201
APPA40326336223,16.25,908
APPA40340812008,13,1315
APPA40357118009,22,3743
APPA40367837408,16.35,1936
APPA40370819012,31.5,738
APPA40378253215,18.15,1197
APPA40422433632,20,1139
APPA40422774009,20,530
APPA40422943238,19,1271
APPA40439874631,31.5,454
APPA40443762626,19,1495
APPA40447797402,16,4251
APPA40451003625,13,842
APPA40466719615,17.5,994
APPA40496529626,20,715
APPA40539846229,14.49,1458
APPA40553018205,12.99,3219
APPA40567469637,35.5,746
APPA40573514416,18.15,442
APPA40577891632,14.85,356
APPA40578474819,18.15,1031
APPA40581465426,18.25,1225
APPA40597799217,24.5,986
APPA40610995041,14.25,585
APPA40625258801,14.5,1176
APPA40633889418,14.5,235
APPA40640867647,20,509
APPA40642974836,13.5,1150
APPA40667442033,20,372
APPA40675671016,13.75,2720
APPA40678954415,24,652
APPA40695297821,18.25,500
APPA40699049425,14.85,3148
APPA40715092049,16.25,569
APPA40715124016,14.85,877
APPA40726388434,16.75,862
APPA40730735245,16.25,709
APPA40736855225,20,530
APPA40765931234,20,848
APPA40769418803,13.99,1163
APPA40795728816,24,949
APPA40803844836,20,669
APPA40805563244,31.5,996
APPA40822882442,15.25,839
APPA40835909837,15.25,1808
APPA40836118848,24,1076
APPA40836409608,15.5,905
APPA40837759217,20,848
APPA40842164021,13.99,2049
APPA40843941444,20,1060
APPA40846825217,16.35,1825
APPA40871475641,31.5,1180
APPA40875558436,31.5,369
APPA40900328036,14.49,1549
APPA40906235846,29.5,844
APPA40918526205,20,821
APPA40921271401,20,509
APPA40934533831,20,1425
APPA40937379049,20,372
APPA40956073225,14.5,1176
APPA40958568247,13.99,2050
APPA40959314035,15.25,1458
APPA40979407604,13.99,349
APPA40983501009,27,1496
APPA40984218827,18.15,1000
APPA50005445423,28.5,1132
APPA50011987617,16.75,989
APPA50023264403,15,737
APPA50030024228,28.5,386
APPA50038186007,18,3047
APPA50044307619,15.25,981
APPA50077525004,20,1018
APPA50083675237,11.99,2633
APPA50083835232,13.99,820
APPA50112584208,15.25,1118
APPA50129178047,16.5,354
APPA50136166645,13.5,4061
APPA50147708646,19,598
APPA50157144806,31.5,1070
APPA50194315818,13.99,902
APPA50201544049,15.5,722
APPA50212244441,15.5,1047
APPA50218158644,20,743
APPA50218658808,24,921
APPA50219317639,14.85,1186
APPA50225435443,31.5,866
APPA50232112049,16.75,287
APPA50242378213,14.85,2537
APPA50245912025,28.5,551
APPA50266389211,20,689
APPA50272853032,18.25,767
APPA50286659232,13,956
APPA50287224039,20,1060
APPA50291345434,31.5,738
APPA50295517622,20,743
APPA50304269822,13.75,2314
APPA50304433801,15.5,843
APPA50309799024,20,795
APPA50313697216,31.5,1033
APPA50324717032,20,509
APPA50327542605,14.85,2109
APPA50331153815,16.25,1472
APPA50345142843,13,2025
APPA50347045621,20,372
APPA50378787809,20,927
APPA50401234619,16.35,2818
APPA50407095621,15,952
APPA50432928636,18.5,847
APPA50444333626,13.49,239
APPA50465661602,35.5,903
APPA50472884224,17.5,2096
APPA50476509441,14.85,3497
APPA50482048247,13.99,960
APPA50484484249,16.2,705
APPA50484892838,13.49,1104
APPA50486976609,20,795
APPA50491053043,13.99,2050
APPA50514362814,13,1368
APPA50520505619,18.25,918
APPA50530194844,15.75,564
APPA50534278221,14.85,711
APPA50538719401,25.5,2073
APPA50561462609,20,397
APPA50564298829,15.5,2983
APPA50570115833,18.4,1024
APPA50579417633,31.5,738
APPA50580441045,18.4,563
APPA50585443041,15.5,1443
APPA50610691629,31.5,701
APPA50613473422,15.25,1044
APPA50617865047,18.4,948
APPA50640248813,15.75,484
APPA50650792816,16.25,1272
APPA50666577406,20,1060
APPA50680578813,15.25,1196
APPA50680782443,14.85,1277
APPA50692882839,15.5,1443
APPA50702089618,14.85,1804
APPA50714224843,13.99,1163
APPA50737714847,14.5,1158
APPA50772611641,20,892
APPA50778987031,20,1060
APPA50790075431,19,934
APPA50797103403,16.75,1528
APPA50802573601,31.5,567
APPA50805482621,20,1069
APPA50817193442,16.75,247
APPA50821474232,15.25,348
APPA50826766844,15.5,1684
APPA50848372601,20,609
APPA50857303219,15,1927
APPA50865317432,20,1007
APPA50881842625,18.25,856
APPA50894786002,15.25,1196
APPA50896358401,15.5,1010
APPA50902732024,28.5,993
APPA50903674825,20,509
APPA50910226619,20,795
APPA50918342042,20,768
APPA50947041442,17.5,2738
APPA50958251012,20,848
APPA50971374034,17.5,1165
APPA50985015625,15.25,972
APPA50987082804,20,609
APPA50990308649,32.5,1221
APPA60005304635,13,2002
APPA60029717234,14.49,1458
APPA60030387021,16,1046
APPA60041971823,15.25,979
APPA60043198637,20,530
APPA60047954218,31.5,1180
APPA60049345814,14.85,2845
APPA60049596822,14.75,726
APPA60054467626,13,475
APPA60058704647,13.5,4778
APPA60061669034,14.25,468
APPA60082527405,13.75,2314
APPA60088081628,20,882
APPA60109151616,15.5,562
APPA60114913835,25.5,800
APPA60118693207,18.25,944
APPA60119993617,14.99,974
APPA60137247806,14.85,1873
APPA60146347404,20,743
APPA60155731231,13.99,1163
APPA60155897841,28.5,1054
APPA60162677822,16.75,1178
APPA60174743406,25.5,1605
APPA60190767806,37,322
APPA60214357202,14.85,2466
APPA60215847809,15.25,904
APPA60216801005,16.75,1063
APPA60220403823,14.85,1518
APPA60226057223,14.85,1499
APPA60229588048,14.85,484
APPA60232898203,13.99,2596
APPA60282431423,24,575
APPA60285936031,18.15,700
APPA60286003817,24,652
APPA60291565426,15.75,677
APPA60291654207,25.5,2073
APPA60294632033,17,1342
APPA60332194217,18.15,850
APPA60361587633,31.5,885
APPA60363259249,13.5,690
APPA60364055438,18.4,692
APPA60365366402,16.75,1120
APPA60380916241,14.85,1038
APPA60387848029,24,392
APPA60435826231,15.75,977
APPA60437209447,20,397
APPA60454856215,13.99,1721
APPA60459355412,16.2,705
APPA60461629447,14.85,2082
APPA60462231225,20,743
APPA60468394425,15.25,1196
APPA60481439642,31.5,1070
APPA60492976019,20,1522
APPA60495831421,31.5,369
APPA60497621206,20,1217
APPA60514947224,14.85,1186
APPA60519379023,13.5,2485
APPA60520954639,31.5,738
APPA60521823639,15.5,1810
APPA60540698006,31.5,433
APPA60541039648,16.75,1582
APPA60541908601,13.49,271
APPA60543123633,24,1553
APPA60569317038,35.5,314
APPA60620235209,20,743
APPA60646547204,14.85,1186
APPA60658247042,13.99,546
APPA60660105415,20,1033
APPA60677712228,13.5,1051
APPA60685271649,37,1005
APPA60693291441,18.4,364
APPA60732521415,14.85,902
APPA60755429621,14.85,1660
APPA60767596448,14.85,2331
APPA60785574234,14.85,2087
APPA60804578226,24,1093
APPA60806846616,24,1438
APPA60832317611,28.5,416
APPA60853591213,14.5,2329
APPA60889859632,13.99,480
APPA60909976239,13.99,898
APPA60921926024,16.75,247
APPA60927311419,19.75,791
APPA60928747239,31.5,649
APPA60928765807,16.25,706
APPA60932925208,35.5,1021
APPA60933922845,13.5,4061
APPA60955431239,16.75,888
APPA60957731425,28.5,416
APPA60963525427,14.85,451
APPA60964811647,13.99,3688
APPA60979658843,13.99,1585
APPA60981129226,20,609
APPA60990106029,15.5,1047
APPA70017838805,17,994
APPA70030212645,20,530
APPA70042753432,14.49,1059
APPA70042921411,18.5,1001
APPA70053671618,27,326
APPA70075505424,14.85,833
APPA70084755236,16.75,964
APPA70106576648,15.75,1209
APPA70118074423,21.5,4100
APPA70132161811,20,1858
APPA70137012239,13.99,1709
APPA70161077443,18.15,1274
APPA70162602201,18.25,472
APPA70167218843,31.5,738
APPA70170491808,15.5,905
APPA70176829814,20,1747
APPA70207566002,24,1057
APPA70210252804,20,795
APPA70216415439,15.75,876
APPA70220683026,28.5,1054
APPA70221265202,13.99,2326
APPA70226267438,13.99,582
APPA70230736235,14.85,3331
APPA70240904024,13,951
APPA70242839032,13,1433
APPA70253649028,13.75,2314
APPA70254724413,31.5,332
APPA70259065226,13.25,3432
APPA70262358434,13.99,1940
APPA70269283629,13,683
APPA70293977416,14.85,1043
APPA70312693248,15.5,590
APPA70317809034,13,1685
APPA70336868643,16.75,890
APPA70340768636,16.75,1063
APPA70343508818,15.25,839
APPA70345747804,24,834
APPA70366227634,20,1007
APPA70367111024,24,1043
APPA70367772627,15.25,2796
APPA70367879801,20,1245
APPA70374385412,15.25,1076
APPA70381654643,14.85,996
APPA70398168039,15.75,701
APPA70405335433,32.5,983
APPA70430809629,31.5,433
APPA70437167021,13.99,1163
APPA70445197816,18.4,794
APPA70460349202,13.99,1366
APPA70470648233,14.85,1110
APPA70495518642,20,1086
APPA70505668825,17,994
APPA70506487641,13.99,2187
APPA70526879002,16.35,1225
APPA70529189214,15.5,289
APPA70534481439,13.49,1968
APPA70539419033,18,1270
APPA70545928841,20,265
APPA70560661207,19,519
APPA70561665245,20,530
APPA70567539416,13.5,1150
APPA70580601439,31.5,738
APPA70585704603,15.25,1118
APPA70591845242,31.5,738
APPA70593186403,15.5,1203
APPA70600996426,17.5,502
APPA70605005601,31.5,567
APPA70617439438,18,2497
APPA70640139023,15.25,1808
APPA70647114634,32.5,983
APPA70655052016,18.4,435
APPA70662361807,17.5,251
APPA70675452021,14.49,1377
APPA70685942427,18.25,1889
APPA70708909026,18.25,766
APPA70722541027,14.85,2490
APPA70732393439,31.5,389
APPA70739766003,20,1802
APPA70770566219,31,1317
APPA70773636608,17.5,1256
APPA70778713031,31.5,885
APPA70779906423,15.25,1196
APPA70781282015,14.85,1162
APPA70798789402,16.75,1236
APPA70809187225,18.4,768
APPA70817777018,28.5,1195
APPA70819374422,13.75,958
APPA70823087047,15.5,698
APPA70825783213,16.75,711
APPA70827667022,20,509
APPA70837564433,24,834
APPA70845636227,19.75,741
APPA70854298031,28.5,1124
APPA70855847402,20,1035
APPA70864636621,18.4,592
APPA70865344211,14.85,1304
APPA70877322446,32.5,339
APPA70905538433,14.5,1271
APPA70910918445,15.5,1203
APPA70913972634,13,993
APPA70914528817,31.5,848
APPA70915775248,19,519
APPA70917503832,18.5,513
APPA70922543819,37,417
APPA70944174041,14.85,972
APPA80012648647,14.85,1897
APPA80019574821,20,795
APPA80052545012,16.75,989
APPA80056516836,14.85,1776
APPA80068629825,20,509
APPA80100839449,20,768
APPA80204136201,13.75,1573
APPA80207909625,19,778
APPA80224614038,17.75,1494
APPA80225287426,18.5,1155
APPA80234627013,20,1060
APPA80260113448,20,768
APPA80261528432,20,397
APPA80291085843,37,683
APPA80325036846,18.25,708
APPA80349458619,15.5,899
APPA80351718225,15.25,696
APPA80364495628,14.25,866
APPA80389258037,20,446
APPA80404295015,29,1063
APPA80410527015,15.25,1196
APPA80421757012,15.5,698
APPA80422685803,15.5,722
APPA80426823409,14.85,1755
APPA80447594609,16.25,353
APPA80464934839,18.4,896
APPA80532634019,18.25,511
APPA80551111401,18,499
APPA80555064013,13.75,2829
APPA80555687035,18.25,511
APPA80578386416,20,743
APPA80584286419,20,1007
APPA80585045823,20,943
APPA80588099035,13.75,2777
APPA80590553649,20,669
APPA80598693211,14.85,1186
APPA80600709842,14.85,474
APPA80603597028,15.25,2430
APPA80607357803,13.5,2301
APPA80619152625,16.75,1321
APPA80626459029,20,509
APPA80638958806,14.85,1660
APPA80649985805,15.25,839
APPA80653989602,24,1295
APPA80660465228,17,289
APPA80675595846,28.5,1195
APPA80680483021,24,834
APPA80685975223,20,1115
APPA80689637217,13.99,1393
APPA80690851225,18.4,852
APPA80692821238,14.85,4078
APPA80726752621,31.5,850
APPA80734709245,18.4,592
APPA80737589241,18.25,894
APPA80746892815,35.5,864
APPA80769855628,13.99,1796
APPA80792235617,14.85,1067
APPA80802651014,18.15,1811
APPA80804124404,13.99,1803
APPA80808698018,15.5,962
APPA80810811033,31.5,738
APPA80865267804,20,1018
APPA80882813414,13.99,2104
APPA80885856011,15.5,1047
APPA80886645626,16.75,1829
APPA80891698441,13.49,1272
APPA80921253449,15.25,1458
APPA80936178832,15.25,4784
APPA80954955024,20,980
APPA80955853849,18.5,593
APPA80959309034,18.25,791
APPA80975501826,11.99,3159
APPA80980212817,14.85,1944
APPA80991625213,15,1421
APPA90002605248,14.85,833
APPA90014255216,25.5,1681
APPA90016496824,12.99,682
APPA90020231444,15.75,488
APPA90028261649,15.5,481
APPA90035388625,13.5,1150
APPA90039285829,14.85,1944
APPA90051162433,14.85,2371
APPA90057149026,13,698
APPA90073912203,15.25,2392
APPA90109912828,14.85,1972
APPA90127187028,19.75,1028
APPA90133132829,15.75,1209
APPA90140542018,13,1138
APPA90144474003,20,768
APPA90162374447,35.5,864
APPA90184002642,20,583
APPA90214359222,13.25,3234
APPA90223959038,31.5,1180
APPA90227465425,14.85,1110
APPA90243796004,28.5,1124
APPA90255168218,33,575
APPA90257089001,18.4,1153
APPA90261503015,28.5,1160
APPA90268248827,18.15,1835
APPA90277539032,13.99,605
APPA90290986405,13.99,898
APPA90315334028,13.5,2058
APPA90338294631,18.15,589
APPA90344889237,13.99,683
APPA90348599846,20,795
APPA90356935038,37,775
APPA90365604407,12.99,3004
APPA90373226439,18.25,791
APPA90378422217,28.5,703
APPA90383098236,13,228
APPA90410449412,20,1115
APPA90411739849,19,1167
APPA90411959436,15.5,698
APPA90414797826,15.5,722
APPA90423857829,14.5,1544
APPA90439611633,12.99,2457
APPA90463565208,13.99,546
APPA90465276023,11.99,3159
APPA90497892201,20,6299
APPA90498445642,16.75,1137
APPA90509552637,18.4,601
APPA90514957431,31.5,996
APPA90517718847,31.5,516
APPA90535211218,14.85,1186
APPA90537341035,28.5,250
APPA90537859808,24,392
APPA90558181601,20,1115
APPA90563937638,16.25,982
APPA90566807033,24,1239
APPA90568304625,13.99,718
APPA90569602642,18.15,884
APPA90578985848,15.35,840
APPA90581414212,14.85,1915
APPA90581433008,14.85,1452
APPA90588733232,15.25,2392
APPA90607195231,15.75,701
APPA90607537046,13.99,683
APPA90623336644,20,1115
APPA90624579413,14.85,1388
APPA90648351401,20,913
APPA90657806802,14.49,1176
APPA90665315803,24,1467
APPA90667975246,15.5,1082
APPA90713375022,13.99,683
APPA90719734035,14.85,237
APPA90720117038,13.99,1914
APPA90743324245,20,1060
APPA90758574637,14.85,484
APPA90784631838,15.25,2512
APPA90797457623,13.99,1440
APPA90801833835,20,874
APPA90826633411,14.85,968
APPA90839749214,28.5,1195
APPA90841604449,20,882
APPA90891598808,13,1024
APPA90892869829,15.75,895
APPA90925619444,32.5,678
APPA90928487012,14.49,1176
APPA90939062006,14.85,1110
APPA90949016021,13.99,1284
APPA90949959433,28.5,416
APPA90956645834,14.85,346
APPA90975403623,13.49,1173
APPA90991511846,37,464
APPB10004058905,17,289
APPB10021555545,14.85,2664
APPB10023141739,15.25,1398
APPB10029448121,15.35,973
APPB10032564505,20,1522
APPB10046233913,20,530
APPB10046599735,28.5,551
APPB10050602534,23.5,1616
APPB10074259538,18.15,1473
APPB10086796522,28.5,1195
APPB10096851705,33,441
APPB10106261517,15.5,349
APPB10122704729,15.25,904
APPB10133961736,15.5,175
APPB10151487118,15.25,718
APPB10155757147,35.5,589
APPB10161842908,16.5,2459
APPB10177639127,14.85,711
APPB10183796918,17,746
APPB10213266514,18,1270
APPB10221335331,20,874
APPB10222446127,14.85,833
APPB10263296123,18.25,740
APPB10269078506,18.25,1201
APPB10278809308,19,1167
APPB10283195346,37,894
APPB10287059705,15.25,2265
APPB10295454127,20,372
APPB10314432137,13.49,679
APPB10320643349,13.5,3249
APPB10331351316,31.5,885
APPB10346397333,18.25,1021
APPB10354405921,16.75,717
APPB10372482716,20,1115
APPB10390192324,37,298
APPB10394435145,19.75,909
APPB10395622513,14.85,692
APPB10412212131,27,1886
APPB10413358346,16.35,1060
APPB10418044943,27,1588
APPB10430746936,24,863
APPB10468842139,15.25,699
APPB10471139122,15.5,1058
APPB10479069913,37,477
APPB10480016327,35.5,864
APPB10493952907,20,1449
APPB10509072728,15.25,2392
APPB10510252738,24,921
APPB10521806343,16.25,2152
APPB10532809522,14.85,968
APPB10534196107,31.5,567
APPB10544205515,37,596
APPB10557883538,20,1113
APPB10580111134,15.75,488
APPB10580589314,20,743
APPB10604828321,16.75,1162
APPB10613743328,13.75,479
APPB10616413108,14.75,629
APPB10618087117,15.25,904
APPB10626922308,15.25,1483
APPB10628995501,20,1018
APPB10632962348,16.75,593
APPB10643654113,15.25,1044
APPB10647721916,25.5,2001
APPB10667731129,20,1007
APPB10674016128,20,795
APPB10680533903,15.5,1130
APPB10715896313,16.75,568
APPB10720908531,13.99,558
APPB10726644922,31.5,701
APPB10740786919,18.15,1200
APPB10749524712,31.5,433
APPB10793714946,31.5,369
APPB10800281744,14.85,2415
APPB10818553131,14.85,2371
APPB10831241539,15.5,487
APPB10838477315,32.5,1153
APPB10851689116,20,882
APPB10857867921,13.49,1150
APPB10861284738,31.5,738
APPB10876329909,20,611
APPB10876611535,13.99,2295
APPB10882159508,19.75,1015
APPB10894687334,15.5,722
APPB10896598333,20,372
APPB10899702902,18,1371
APPB10902731344,15,1475
APPB10905552713,15.75,1682
APPB10919033702,15.5,487
APPB10924825913,14.49,1999
APPB10926029339,14.85,4163
APPB10936801334,14.85,925
APPB10957409935,17.5,754
APPB10959964706,14.85,902
APPB10962589118,17.5,1256
APPB10981803547,19,1038
APPB10988476904,16.75,1120
APPB10991944702,16.75,1149
APPB10994268342,14.85,3557
APPB20000304544,16.75,711
APPB20008968526,17,746
APPB20016474942,20,371
APPB20035799548,20,1853
APPB20037691729,18.5,1283
APPB20037973147,20,530
APPB20041372149,20,509
APPB20055763133,15,1179
APPB20060496934,15.8,4213
APPB20069128518,16.75,977
APPB20074088516,20,780
APPB20075862533,14.85,1388
APPB20093398922,18.4,896
APPB20101847926,16.25,968
APPB20117248534,28.5,833
APPB20140941545,16.75,355
APPB20143275137,20,821
APPB20145091716,20,1192
APPB20148586326,13.99,683
APPB20167855712,31.5,433
APPB20168707908,28.5,527
APPB20179493712,28.5,1103
APPB20180188122,31.5,701
APPB20197295347,27.5,822
APPB20211525924,20,913
APPB20214022301,18.4,364
APPB20219423509,12.99,1729
APPB20224656109,14.25,686
APPB20224825134,15.25,2430
APPB20233412147,20,1115
APPB20242058512,13,2730
APPB20251982727,18,1498
APPB20266152739,15.5,633
APPB20275036741,33,690
APPB20284509335,15.25,718
APPB20297805122,31.5,885
APPB20302494746,15.5,962
APPB20308992949,27.5,2178
APPB20313742703,13,2790
APPB20331358338,20,954
APPB20332261108,13.5,170
APPB20332669702,14.85,119
APPB20346497527,18.4,364
APPB20356193345,14.85,484
APPB20359434703,13.5,920
APPB20364641911,24,834
APPB20382939343,16.75,890
APPB20385038749,14.85,2905
APPB20395973123,18.25,643
APPB20402875507,20,1060
APPB20420024935,15,1166
APPB20425902318,20,3974
APPB20464401529,13.5,1841
APPB20471776743,15.25,696
APPB20488719525,14.85,833
APPB20498469338,20,372
APPB20505722535,16.75,494
APPB20521371521,32.5,572
APPB20528355723,14.49,1176
APPB20535815943,14.85,1067
APPB20552191533,20,1390
APPB20555824136,16.75,865
APPB20565763738,18.25,918
APPB20570526548,19.75,508
APPB20601264725,15.75,895
APPB20614524311,31,215
APPB20625098909,14.25,1373
APPB20657629125,15.75,1209
APPB20660083316,14.49,1176
APPB20685933122,13,2388
APPB20694656929,15.75,701
APPB20695078711,14.5,827
APPB20696852937,14.25,3850
APPB20730121137,20,609
